test_id,test_name_simplified,test_name_long,antigen target,isotype target,test design,assay type,citations,notes,
--,Biozek,Biozek COVID-19 IgG/IgM rapid test,"N, RBD",IgG IgM,indirect,LFIA,"https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material  ,  https://www.biozek.com/corona-virus-covid-rapid-test/",,
100,CCAHS ELISA,CCAHS ELISA anti-spike anti-RBD anti-nucleocapsid (positive on at least 2 out of 3),"N, RBD, S",IgG,indirect,CMIA,"https://onlinelibrary.wiley.com/doi/10.1002/cti2.1380  [n-264]  ,  https://www150.statcan.gc.ca/n1/pub/82-003-x/2022004/article/00003-eng.htm  [n-261]",design inferred from test description,
28,Clungene,Hangzhou Clongene IgM/IgG rapid test,--,IgG,indirect,LFIA,"https://www.nature.com/articles/s41598-021-89236-x  ,  https://pellecome.com/wp-content/uploads/2020/03/ClungeneIFU-Amended.pdf",design inferred from test description,
62,Core Technology Coretest,Coretest COVID-19 IgM/IgG Ab Test (Core Technology),"N, S",IgG IgM,indirect,LFIA,"https://www.cordx.com/product/covid-19-igm-igg-ab-test/  ,  https://www.medrxiv.org/content/10.1101/2021.05.08.21256893v1.full.pdf  ,  https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00160-7/fulltext",design inferred from test description,
50,COVIDAR,COVIDAR anti-spike anti-RBD,"RBD, S",IgG IgM,indirect,ELISA,https://pubmed.ncbi.nlm.nih.gov/33444413/,design inferred from test description,
75,CTK Biotech Onsite,CTK Biotech Onsite COVID 19 IgG/IgM rapid test kit,--,IgG IgM,indirect,LFIA,https://drive.google.com/file/d/1ATIHN4yKm_X9GPgJZER46e9YSJZfuO6R/view  [ https://archive.ph/3yma6 ],design inferred from test description,
15,DiaSorin,Diasorin Liaison S1/S2 spike IgG,S,IgG,indirect,CMIA,https://www.diasorin.com/sites/default/files/allegati/liaisonr_sars-cov-2_s1s2_igg_brochure.pdf.pdf  ,  https://www.sciencedirect.com/science/article/pii/S138665322100319X,design stated in Scheiblauer et al. citation
74,Eco Diagnostica ECO test,"COVID-19 IgG/IgM ECO Test (not the ""Combo"" test; Eco Diagnostica)","N, S",IgG IgM,indirect,LFIA,https://ablediagnostics.com/prods/docs/2-IFU.pdf,design inferred from test description,
--,"Epitope Diagnostics, Inc.",EDI Novel coronavirus COVID19 IgG anti-nucleocapsid,N,IgG,indirect,ELISA,https://static1.squarespace.com/static/52545951e4b021818110f9cf/t/5fcebf83ca1f943ff5a447c3/1607384968098/KT-1032+RUO+V6+2020-12.pdf,design inferred from test description,
46,Enable’s ADAP N,Enable’s ADAP SARS-CoV-2 total antibody anti-nucleocapsid,N,IgG IgM IgA,,ADAP,"https://www.nature.com/articles/s41598-020-76913-6#Sec14  ,  https://www.medrxiv.org/content/10.1101/2021.12.09.21267565v1.full-text  [n-253]",,
48,Enable’s ADAP S,Enable’s ADAP SARS-CoV-2 total antibody anti-spike,S,IgG IgM IgA,,ADAP,"https://www.nature.com/articles/s41598-020-76913-6#Sec14  ,  https://www.medrxiv.org/content/10.1101/2021.12.09.21267565v1.full-text  [n-253]",,
--,ErbaLisa,ERBALISA COVID-19 IgG,"N, S",IgG,indirect,ELISA,"https://academic.oup.com/trstmh/article/116/3/242/6335791   ,  https://web.archive.org/web/20210613205235/https://www.idsplc.com/products/erbalisa-covid-19-igg/",design stated on company website,
--,Euroimmun N,Euroimmun anti-nucleocapsid IgG IgM,N,IgG IgM,indirect,ELISA,"https://www.coronavirus-diagnostics.com/documents/Indications/Infections/Coronavirus/YI_2606_I_UK_C.pdf  ,  https://www.sciencedirect.com/science/article/pii/S138665322100319X",design stated in Scheiblauer et al. citation,
6,Euroimmun S1,Euroimmun anti-spike,S,IgG IgA,indirect,ELISA,"https://www.coronavirus-diagnostics.com/documents/Indications/Infections/Coronavirus/YI_2606_I_UK_C.pdf 
 ,  https://www.medrxiv.org/content/10.1101/2021.05.08.21256893v1.full.pdf  ,  https://www.fda.gov/media/137609/download  ;  https://www.sciencedirect.com/science/article/pii/S138665322100319X",design stated in Scheiblauer et al. citation,
1,Fortress Diagnostics,"Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)",S,IgG IgM,indirect,LFIA,"https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material  ,  https://www.nature.com/articles/s41467-021-21237-w  [n-14]",,
70,"Gauteng, in-house Luminex",in-house Luminex S protein trimer IgG,RBD,IgG,,CMIA,https://academic.oup.com/ije/article/51/2/404/6414575,,
78,Genetico CoronaPass,Genetico CoronaPass total antibodies test for spike,RBD,IgG IgM IgA,,ELISA,"https://pass.genetico.ru/  ,  https://onlinelibrary.wiley.com/doi/10.1002/jmv.27126",,
--,GenScript cPass,GenScript cPass neutralization kit,RBD,--,competitive,NT (protein-protein ELISA),"https://www.genscript.com/gsfiles/techfiles/GS-SOP-CPTS001G-05_L00847-C.pdf?651186757%20%20[page%2012]  ;  https://www.fda.gov/media/143583/download  ,  https://www.sciencedirect.com/science/article/pii/S138665322100319X",design stated in Scheiblauer et al. citation,
10,Healgen,Healgen COVID-19 IgG/IgM rapid test cassettes,S,IgG IgM,indirect,LFIA,https://sa1s3.patientpop.com/assets/docs/240677.pdf,design inferred from test description,
--,Immundiagnostik,IDK (Immundiagnostik) anti-spike IgG,S,IgG,indirect,ELISA,https://www.mdpi.com/2076-2607/9/4/733/htm,,
--,InBios SCoV-2 Detect,InBios SCoV-2 Detect IgG anti-spike ELISA,S,IgG,indirect,ELISA,"https://inbios.com/wp-content/uploads/2021/05/LBL-0113-03-EUA-CE-SCoV-2-Detect-IgG-ELISA-product-insert-English.pdf  ,  https://wwwnc.cdc.gov/eid/article/27/3/20-4543_article",design inferred from test description,
60,INgezim DR Test,INgezim COVID 19 DR Test,N,IgG IgM IgA,,ELISA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7521368/,,
102,"Jefferson, in-house S IgG",in-house Jefferson County anti-spike IgG,S,IgG,indirect,ELISA,"https://www.nature.com/articles/s41598-021-97423-z  ,  https://www.medrxiv.org/content/10.1101/2022.04.28.22274086v1",design inferred from test description,
,LabCorp semi-quantitative,,S,IgG,,,,,
7,Livzon,Livzon COVID-19 IgG IgM lateral flow,--,IgG IgM,indirect,LFIA,http://www.livzondiagnostics.com/en-us/info/17.html,,
34,"Luminex xMAP, RBD portion",Luminex xMAP for spike and nucleocaspid (Los Angeles study used RBD portion),RBD,IgG,indirect,CMIA,https://www.luminexcorp.com/xmap-sars-cov-2-antibody-testing/ ,,
--,LumiraDx,LumiraDx SARS-CoV-2 anti-spike antibody test,"RBD, S",IgG IgM IgA,,CMIA,"https://www.lumiradx.com/assets/pdfs/covid-19-antibody-test/sars-cov-2-antibody-ab-product-insert/sars-cov-2-ab-product-insert-eua.pdf?v=1  ,  https://www.lumiradx.com/us-en/news-events/lumiradx-receives-fda-emergency-use-authorization-for-its-covid-19-antibody-test",,
27,Massachusetts General Hospital,"Massachusetts General Hospital, anti-spike ELISA",RBD,IgG,indirect,ELISA,https://wwwnc.cdc.gov/eid/article/27/6/21-0568_article  ,  https://www.science.org/doi/10.1126/sciimmunol.abe0367,design inferred from test description
--,"Mehdi, in-house",in-house RBD ELISA (Mehdi et al.),RBD,IgG,indirect,ELISA,https://www.ajtmh.org/view/journals/tpmd/105/1/article-p66.xml,design inferred from test description,
--,Mikrogen GmbH recomLine,Mikrogen GmbH recomLine SARS-CoV-2 IgG,"N, RBD, S",IgG,indirect,line,"https://www.sciencedirect.com/science/article/pii/S138665322100319  , https://www.qedbio.com/wp-content/uploads/2020/08/7374.pdf ",design inferred from test description,
35,Mount Sinai (New York),"New York, Mount Sinai RBD ELISA","RBD, S",IgG,indirect,ELISA,https://wwwnc.cdc.gov/eid/article/28/3/21-1495_article,design inferred from test description,
19,"Netherlands, in-house","Netherlands, in-house anti-spike assay",S,IgG,indirect,CMIA,"https://jech.bmj.com/content/75/6/489  [n-34]  ,  which cites: https://academic.oup.com/jid/article/222/9/1452/5885163",design inferred from test description,
--,"Obolensk, ELISA (State Scientific Center of Applied Microbiology and Biotechnology)",Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology),N,IgG,,ELISA,https://journal.microbe.ru/jour/article/view/1371/1150,,
3,Orient Gene Biotech,Orient Gene Biotech COVID-19 IgG/IgM Rapid Test anti-spike,S,IgG IgM,indirect,LFIA,"http://www.bvs.hn/COVID-19/Plataforma/OrientGene_INSERTO.pdf  ,  https://www.medrxiv.org/content/10.1101/2021.05.08.21256893v1.full.pdf  ,  https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(21)00207-3/fulltext",design inferred from test description,
--,PCL,PCL COVID-19 IgG/IgM Rapid Gold,--,IgG IgM,indirect,LFIA,https://www.vitrexmedical.com/wp-content/uploads/2020/05/IFU-Cov03_2020-05_GB.pdf,design inferred from test description,
77,Pishtaz Teb,Pishtaz Teb SARS-CoV-2 ELISA kits (for nucleocapsid),N,IgG IgM,indirect,ELISA,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8278025/  ,  https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30858-6/fulltext",design stated in appendix of Poustchi,
44,Premier Biotech,Premier Biotech COVID-19 IgG/IgM Rapid Test anti-RBD,RBD,IgG IgM,indirect,LFIA,https://premierbiotech.com/innovation/wp-content/uploads/2020/12/Attachment-1_06_clean-version-Proposed-Premier-Biotech-IFU-with-POC-fingerstick-12212020.pdf,design inferred from test description,
12,Roche Elecsys N,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM,N,IgG IgM IgA,sandwich,CMIA,"https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html  ,  https://diagnostics.roche.com/us/en/landing-pages/elecsys--anti-sars-cov-2-testing-sites.html#Anti-SARS-CoV-2-Qualitative-Nucleocapsid 
 ,  https://onlinelibrary.wiley.com/doi/10.1002/jmv.27126  ,  https://www.sciencedirect.com/science/article/pii/S138665322100319X",design stated in Scheiblauer et al. citation,
17,Roche Elecsys S,Elecsys Anti-SARS-CoV-2 Roche spike,RBD,IgG IgM IgA,sandwich,CMIA,"https://diagnostics.roche.com/global/en/products/params/elecsys-anti-sars-cov-2-s.html  ,  https://diagnostics.roche.com/us/en/landing-pages/elecsys--anti-sars-cov-2-testing-sites.html#Anti-SARS-CoV-2-Semi-Quantitative-Spike  ,  https://www.sciencedirect.com/science/article/pii/S138665322100319X",design stated in Scheiblauer et al. citation,
--,"Roche, rapid test, S + N",Roche SARS-CoV-2 rapid antibody test anti-spike anti-nucleocapsid IgG IgM,"N, S",IgG IgM,indirect,LFIA,"https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material  ,  https://diagnostics.roche.com/global/en/products/params/sars-cov-2-rapid-antibody-test.html",,
61,"SD Biosensor, Standard Q, Plus",Standard Q COVID-19 IgM/IgG Plus,"N, RBD",IgG IgM,indirect,LFIA,"https://www.sdbiosensor.com/product/product_view?product_no=239  ,  https://www.finddx.org/product/standard-q-covid-19-igm-igg-plus-test/  ,  https://bestbion.com/wp-content/uploads/2021/05/bestbiondx-GA-STANDARD-Q-COVID-19-IgMIgG-Plus.pdf",design inferred from test description,
26,SenASTrIS test,SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological),S,IgG IgA,indirect,ELISA,"https://journals.asm.org/doi/10.1128/JVI.01828-20  ,  https://www.unifr.ch/med/imf/fr/assets/public/images/COVID-19/2020-PopHealthLab-Corona-Immunitas-E1.pdf",design inferred from test description,
104,Shenzhen YHLO iFlash,YHLO iFlash SARS CoV-2 (spike + nucleocapsid),"N, S",IgG IgM,,CMIA,https://www.medrxiv.org/content/10.1101/2021.03.19.21253962v1.full  [n-297],,
--,Siemens Advia SARS-CoV-2 IgG anti-RBD,Siemens Advia SARS-CoV-2 IgG anti-RBD,RBD,IgG,indirect,CMIA,"https://www.fda.gov/media/150238/download  ,  https://www.siemens-healthineers.com/en-us/laboratory-diagnostics/assays-by-diseases-conditions/infectious-disease-assays/sars-cov-2-igg-assay","design inferred from test description, despite PDF misleadingly saying its ""sandwich""",
59,"Siemens Advia Centaur, Total",Siemens SARS-CoV-2 Total Advia Centaur,RBD,IgG IgM,sandwich,CMIA,"https://www.fda.gov/media/138446/download  ,  https://www.siemens-healthineers.com/en-us/laboratory-diagnostics/assays-by-diseases-conditions/infectious-disease-assays/cov2t-assay",design inferred from test description,
40,"Sinai Health (Toronto) ELISA, lenient cutoff, N S RBD","Sinai Health (Toronto) anti-spike anti-RBD anti-nucleocapsid ELISA, lenient cutoff","N, RBD, S",IgG,indirect,CMIA,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2789086  [n-203],design inferred from test description,
39,"Sinai Health (Toronto) ELISA, S",Sinai Health (Toronto) anti-spike ELISA,S,IgG,indirect,CMIA,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2789086  [n-203],design inferred from test description,
51,SNIBE Maglumi,SNIBE Maglumi spike nucleocapsid IgG IgM ,"N, S",IgG IgM,indirect,CMIA,https://www.ncbi.nlm.nih.gov/books/NBK572322/bin/fdacovideuas_142233.pdf,design inferred from test description,
--,"Techno Genetics, anti-RBD POCT","Techno Genetics anti-RBD, nCOVID-19 IgG/IgM POCT (point-of-care test)",RBD,IgG IgM,indirect,LFIA,"https://validahealth.dk/wp-content/uploads/2020/09/valida-health-antibody-test-details-sheet.pdf  ,  https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-022-07031-z  [n-150]",design inferred from test description,
9,"Techno Genetics, rapid test, gold","Techno Genetics, Rapid Test SARS-CoV-2 IgM/IgG Gold, anti-nucleocapsid",N,IgG IgM,indirect,LFIA,"https://cdn.shopify.com/s/files/1/0094/4698/1732/files/POCT_-_VR-11_Clinical_Study.pdf?v=1591354196%20,%20https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8038148/  ,  https://smw.ch/article/doi/smw.2021.w30116",design inferred from test description,
37,THL Finland FMIA,in-house THL Finland FMIA anti-spike assay,S,IgG,indirect,CMIA,"https://journals.asm.org/doi/epub/10.1128/Spectrum.01131-21  ,  https://onlinelibrary.wiley.com/doi/10.1002/eji.202149535",design inferred from test description,
--,THL Finland neutralization,in-house THL Finland neutralization assay,--,--,,NT (cell),https://journals.asm.org/doi/epub/10.1128/Spectrum.01131-21,,
48,Tosoh N sandwich,Tosoh anti-nucleocapsid total Ig with AIA-CL1200,N,IgG IgM IgA etc.,sandwich,CMIA,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,design inferred from test description,
--,Tosoh N indirect,Tosoh anti-nucleocapsid IgG with AIA-CL1200,N,IgG,indirect,CMIA,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,design inferred from test description,
--,Tosoh S sandwich,Tosoh anti-spike total Ig with AIA-CL1200,RBD,IgG IgM IgA etc.,sandwich,CMIA,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,design inferred from test description,
--,Tosoh S indirect,Tosoh anti-spike IgG with AIA-CL1200,RBD,IgG,indirect,CMIA,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,design inferred from test description,
--,"Tunis, in-house",in-house ELISA for N protein and S protein from IPT (Institut Pasteur in Tunis),"N, RBD",IgG,,ELISA,https://www.researchsquare.com/article/rs-1317280/v2,,
76,UFRJ (University of Rio de Janeiro),University of Rio de Janeiro (UFRJ) anti-spike ELISA,S,IgG,indirect,ELISA,https://www.medrxiv.org/content/10.1101/2020.07.13.20152884v6.full.pdf,design inferred from test description,
2,University of Oxford,"University of Oxford, IgG for spike",S,IgG,indirect,ELISA,"https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext  ,  https://www.medrxiv.org/content/10.1101/2020.05.31.20118554v4.full-text",design stated in text and further confirmed from test description,
--,Vector-Best IgG-EIA-BEST,Vector-Best SARS-CoV-2-IgG-ELISA-Best,S,IgG,,ELISA,"https://onlinelibrary.wiley.com/doi/10.1002/jmv.27126  ,  http://www.vector-best.ru/en/prod/index.php?SECTION_ID=2724",,
13,"Vitros Ortho, RBD CoV2T total",Vitros Ortho total Ig anti-spike,RBD,IgG IgM IgA etc.,sandwich,CMIA,"https://www.sciencedirect.com/science/article/pii/S138665322100319X  ,  https://www.fda.gov/media/136967/download ",design inferred from test description,
57,"Vitros Ortho, S CoV2 IgG",Vitros Ortho (not total) IgG anti-spike,S,IgG,indirect,CMIA,https://www.fda.gov/media/137363/download,design inferred from test description,
8,Wantai ELISA,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD",RBD,IgG IgM,sandwich,ELISA,https://www.fda.gov/media/140929/download,design stated in Scheiblauer et al. citation,
103,"Wantai, rapid test","Wantai rapid test, SARS-CoV-2 total antibody, IgG IgM (against RBD)",RBD,IgG IgM,sandwich,LFIA,https://www.fda.gov/media/140030/download,design inferred from test description,
--,Zydus Kavach ELISA IgG,Kavach-AntiSARS-CoV-2 IgG ELISA (Zydus),"N, RBD, S",IgG,indirect,ELISA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7530443/,design inferred from test description,
