test_id,test_name_simplified,test_name_long,antigen target,isotype target,test design,assay type,citations,notes,
110,"Bioperfectus, rapid test",Bioperfectus IgG/IgM rapid test,"N, S",IgG IgM,indirect,LFIA,"https://web.archive.org/save/https://avys.omu.edu.tr/storage/app/public/harun.albayrak/121580/1.pdf  ,  https://web.archive.org/web/20220116195415/https://www.bioperfectus.com/ProductDetail/NovelCoronaVirusSARSCoV2IgMIgGRapidTestKit","design inferred (""G"" line separate from an ""M"" line, likely feasible on indirect not sandwich)",
20,"BioRad Platelia, N total",BioRad Platelia Total Antibody nucleocapsid,N,IgG IgM IgA,sandwich,ELISA,"https://academic.oup.com/jid/article/224/10/1649/6258999  ,  https://www.fda.gov/media/137493/download",design inferred from test description,
65,Bioscience 2019-nCoV,Bioscience 2019-nCoV IgM and IgG,S,IgG IgM,indirect,CMIA,https://academic.oup.com/jid/article/222/2/189/5831993,design inferred from test description,
--,"Biozek, rapid test",Biozek COVID-19 IgG/IgM rapid test,"N, RBD",IgG IgM,indirect,LFIA,"https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material  ,  https://www.biozek.com/corona-virus-covid-rapid-test/  ,  https://www.clindia.nl/media/2649/ifu_covid19-iggplusigm_wbsp_402-biozek-ce.pdf",,
100,CCAHS ELISA,CCAHS ELISA anti-spike anti-RBD anti-nucleocapsid (positive on at least 2 out of 3),"N, RBD, S",IgG,indirect,CMIA,"https://onlinelibrary.wiley.com/doi/10.1002/cti2.1380  [n-264]  ,  https://www150.statcan.gc.ca/n1/pub/82-003-x/2022004/article/00003-eng.htm  [n-261]",design inferred from test description,
--,"Cellex, rapid test",Cellex IgG/IgM rapid test,"N, S",IgG IgM,indirect,LFIA,https://www.fda.gov/media/136625/download,design inferred from test description,
28,"Clungene, rapid test",Hangzhou Clongene IgM/IgG rapid test,--,IgG,indirect,LFIA,"https://www.nature.com/articles/s41598-021-89236-x  ,  https://pellecome.com/wp-content/uploads/2020/03/ClungeneIFU-Amended.pdf",design inferred from test description,
62,Core Technology Coretest,Coretest COVID-19 IgM/IgG Ab Test (Core Technology),"N, S",IgG IgM,indirect,LFIA,"https://www.cordx.com/product/covid-19-igm-igg-ab-test/  ,  https://www.medrxiv.org/content/10.1101/2021.05.08.21256893v1.full.pdf  ,  https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00160-7/fulltext",design inferred from test description,
23,CoVAM,Coronavirus antigen microarray (CoVAM),"N, RBD, S, M",IgG IgM,indirect,ELISA (with microarray),https://www.nature.com/articles/s41598-021-82662-x,"""M"" is membrane protein (can just treat as ""N, RBD, S""), design inferred from test description",
50,COVIDAR,COVIDAR anti-spike anti-RBD,"RBD, S",IgG IgM,indirect,ELISA,https://pubmed.ncbi.nlm.nih.gov/33444413/,design inferred from test description,
75,"CTK Biotech Onsite, rapid test",CTK Biotech Onsite COVID 19 IgG/IgM rapid test kit,S,IgG IgM,indirect,LFIA,"https://drive.google.com/file/d/1ATIHN4yKm_X9GPgJZER46e9YSJZfuO6R/view  [ https://archive.ph/3yma6 ]  ,  https://www.medrxiv.org/content/10.1101/2022.04.04.22273232v2.full-text",design inferred from test description,
15,DiaSorin S1/S2,Diasorin Liaison S1/S2 spike IgG,S,IgG,indirect,CMIA,https://www.diasorin.com/sites/default/files/allegati/liaisonr_sars-cov-2_s1s2_igg_brochure.pdf.pdf  ;  https://www.sciencedirect.com/science/article/pii/S138665322100319X,design stated in Scheiblauer et al. citation,
--,"Dynamiker, rapid test",Dynamiker IgG/IgM rapid test,"N, S",IgG IgM,indirect,LFIA,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8078036/ , https://en.dynamiker.com/index/index/pro_info/aid/606.html","design inferred (""G"" line separate from an ""M"" line, likely feasible on indirect not sandwich)",
74,Eco Diagnostica ECO test,"COVID-19 IgG/IgM ECO Test (not the ""Combo"" test; Eco Diagnostica)","N, S",IgG IgM,indirect,LFIA,https://ablediagnostics.com/prods/docs/2-IFU.pdf,design inferred from test description,
--,"EDI (Epitope Diagnostics, Inc.)",EDI Novel coronavirus COVID19 IgG anti-nucleocapsid,N,IgG,indirect,ELISA,https://static1.squarespace.com/static/52545951e4b021818110f9cf/t/5fcebf83ca1f943ff5a447c3/1607384968098/KT-1032+RUO+V6+2020-12.pdf,design inferred from test description,
46,Enable’s ADAP N total,Enable’s ADAP SARS-CoV-2 total antibody anti-nucleocapsid,N,IgG IgM IgA,,ADAP,"https://www.nature.com/articles/s41598-020-76913-6#Sec14  ,  https://www.medrxiv.org/content/10.1101/2021.12.09.21267565v1.full-text  [n-253]",,
48,Enable’s ADAP S total,Enable’s ADAP SARS-CoV-2 total antibody anti-spike,S,IgG IgM IgA,,ADAP,"https://www.nature.com/articles/s41598-020-76913-6#Sec14  ,  https://www.medrxiv.org/content/10.1101/2021.12.09.21267565v1.full-text  [n-253]",,
85,ErbaLisa ELISA IgG,ERBALISA COVID-19 IgG,"N, S",IgG,indirect,ELISA,"https://academic.oup.com/trstmh/article/116/3/242/6335791   ,  https://web.archive.org/web/20210613205235/https://www.idsplc.com/products/erbalisa-covid-19-igg/",design stated on company website,
--,Euroimmun N,Euroimmun anti-nucleocapsid IgG IgM,N,IgG IgM,indirect,ELISA,"https://www.coronavirus-diagnostics.com/documents/Indications/Infections/Coronavirus/YI_2606_I_UK_C.pdf  ,  https://www.sciencedirect.com/science/article/pii/S138665322100319X",design stated in Scheiblauer et al. citation,
6,Euroimmun S1,Euroimmun anti-spike,S,IgG IgA,indirect,ELISA,"https://www.coronavirus-diagnostics.com/documents/Indications/Infections/Coronavirus/YI_2606_I_UK_C.pdf 
 ,  https://www.medrxiv.org/content/10.1101/2021.05.08.21256893v1.full.pdf  ,  https://www.fda.gov/media/137609/download  ;  https://www.sciencedirect.com/science/article/pii/S138665322100319X",design stated in Scheiblauer et al. citation,
1,Fortress Diagnostics LFIA total,"Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)",S,IgG IgM,indirect,LFIA,"https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material  ,  https://www.nature.com/articles/s41467-021-21237-w  [n-14]  ,  https://unahealth.co.uk/product/fortress-diagnostics-covid-19-rapid-antibody-testing/#product-details","design inferred (""G"" line separate from an ""M"" line, likely feasible on indirect not sandwich)",
72,"Foz do Iguaçu in-house ELISA, S",Foz do Iguaçu in-house ELISA for recombinant spike protein,S,IgG,,ELISA,https://drive.google.com/drive/folders/117ne8zX1L-H91NEXMiMAD2pl19KxMnUI,,
70,"Gauteng, in-house Luminex",in-house Luminex S protein trimer IgG,RBD,IgG,,CMIA,https://academic.oup.com/ije/article/51/2/404/6414575,,
78,Genetico CoronaPass total,Genetico CoronaPass total antibodies test for spike,RBD,IgG IgM IgA,indirect,ELISA,"https://pass.genetico.ru/  ,  https://onlinelibrary.wiley.com/doi/10.1002/jmv.27126  ,  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8979210/",design inferred from test description,
--,GenScript cPass neutralization kit,GenScript cPass neutralization kit,RBD,--,competitive,NT (protein-protein ELISA),"https://www.genscript.com/gsfiles/techfiles/GS-SOP-CPTS001G-05_L00847-C.pdf?651186757%20%20[page%2012]  ;  https://www.fda.gov/media/143583/download  ,  https://www.sciencedirect.com/science/article/pii/S138665322100319X",design stated in Scheiblauer et al. citation,
10,"Healgen, rapid test",Healgen COVID-19 IgG/IgM rapid test cassettes,S,IgG IgM,indirect,LFIA,https://sa1s3.patientpop.com/assets/docs/240677.pdf,design inferred from test description,
--,IDK (Immundiagnostik) S1 IgG,IDK (Immundiagnostik) anti-spike IgG,S,IgG,indirect,ELISA,"https://www.mdpi.com/2076-2607/9/4/733/htm  ,  https://www.immundiagnostik.com/media/pages/testkits/k-5004/e859ef5a82-1659578476/k5004_2021-08-10_idk_sars-cov-2-igg.pdf","design inferred (""G"" line separate from an ""M"" line, likely feasible on indirect not sandwich)",
--,InBios SCoV-2 Detect ELISA,InBios SCoV-2 Detect IgG anti-spike ELISA,S,IgG,indirect,ELISA,"https://inbios.com/wp-content/uploads/2021/05/LBL-0113-03-EUA-CE-SCoV-2-Detect-IgG-ELISA-product-insert-English.pdf  ,  https://wwwnc.cdc.gov/eid/article/27/3/20-4543_article",design inferred from test description,
60,INgezim DR Test,INgezim COVID 19 DR Test,N,IgG IgM IgA,direct,ELISA,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7521368/  ,  https://eurofinsgenomics.eu/media/1611050/p-50-covk0-ingezim-covid-19-dr_en-20620.pdf",design inferred from test description,
102,"Jefferson, in-house S IgG",in-house Jefferson County anti-spike IgG,S,IgG,indirect,ELISA,"https://www.nature.com/articles/s41598-021-97423-z  ,  https://www.medrxiv.org/content/10.1101/2022.04.28.22274086v1",design inferred from test description,
92,Kilifi in-house S ELISA,Kilifi in-house anti-S ELISA,S,IgG,indirect,ELISA,https://www.medrxiv.org/content/10.1101/2022.02.07.22270012v1.full  (citing: https://www.nature.com/articles/s41591-020-0913-5 ),design inferred from test description,
,LabCorp semi-quantitative,,S,IgG,,,,,
93,Leccurate rapid test,Leccurate IgG/IgM rapid test,N,IgG IgM,indirect,LFIA,"https://iris.paho.org/handle/10665.2/55178  ,  https://www.sciencedirect.com/science/article/pii/S0009898121001418",,
7,"Livzon, rapid test",Livzon COVID-19 IgG IgM lateral flow,"N, S",IgG IgM,indirect,LFIA,"http://www.livzondiagnostics.com/en-us/info/17.html  ,  https://www.sciencedirect.com/science/article/pii/S0009898121001418",antigen target noted after paper submission,
91,"Luminex S or N, Ayouba et al.","Luminex anti-nucleocapsid + anti-spike assay (positive on either), Ayouba et al.","N, S",IgG,indirect,CMIA,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab515/6293985  ;  https://www.sciencedirect.com/science/article/pii/S1386653220302638,design inferred from test description,
94,"Luminex S or N, Ayouba et al.","Luminex anti-nucleocapsid + anti-spike assay (positive on both), Ayouba et al.",N + S,IgG,indirect,CMIA,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab515/6293985  ;  https://www.sciencedirect.com/science/article/pii/S1386653220302638,"design inferred from test description, treat antigen target as N since seroreversions is likely worse for that",
88,Luminex Tetracore FlexImmArray,Luminex Tetracore FlexImmArray S NP,"N, S",IgG,indirect,CMIA,https://tetracore.com/wp-content/uploads/2021/04/FlexImmArraySARS-CoV-2IgGkitIFU_ver05122020_web.pdf,,
34,"Luminex xMAP, RBD portion",Luminex xMAP for spike and nucleocaspid (Los Angeles study used RBD portion),RBD,IgG,indirect,CMIA,https://www.luminexcorp.com/xmap-sars-cov-2-antibody-testing/ ,,
--,LumiraDx,LumiraDx SARS-CoV-2 anti-spike antibody test,"RBD, S",IgG IgM IgA,,CMIA,"https://www.lumiradx.com/assets/pdfs/covid-19-antibody-test/sars-cov-2-antibody-ab-product-insert/sars-cov-2-ab-product-insert-eua.pdf?v=1  ,  https://www.lumiradx.com/us-en/news-events/lumiradx-receives-fda-emergency-use-authorization-for-its-covid-19-antibody-test",,
27,"Massachusetts General Hospital, ELISA","Massachusetts General Hospital, anti-spike ELISA",RBD,IgG,indirect,ELISA,https://wwwnc.cdc.gov/eid/article/27/6/21-0568_article  ;  https://www.science.org/doi/10.1126/sciimmunol.abe0367,design inferred from test description,
--,"Mehdi, in-house RBD",in-house RBD ELISA (Mehdi et al.),RBD,IgG,indirect,ELISA,https://www.ajtmh.org/view/journals/tpmd/105/1/article-p66.xml,design inferred from test description,
--,Mikrogen GmbH recomLine,Mikrogen GmbH recomLine SARS-CoV-2 IgG,"N, RBD, S",IgG,indirect,line,"https://www.sciencedirect.com/science/article/pii/S138665322100319  , https://www.qedbio.com/wp-content/uploads/2020/08/7374.pdf ",design inferred from test description,
35,"Mount Sinai (New York), ELISA","New York, Mount Sinai RBD ELISA","RBD, S",IgG,indirect,ELISA,https://wwwnc.cdc.gov/eid/article/28/3/21-1495_article,design inferred from test description,
111,"Nanjing Vazyme, rapid test",Nanjing Vazyme 2019-nCoV IgG IgM (for spike),S,IgG IgM,indirect,LFIA,"https://mtendoscopy.com/wp-content/uploads/2020/04/Vazyme_2019-nCoV-IgG-IgM-Detection-Kit-Instruction-for-Use04.28.20-Final.pdf , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7562965/",design inferred from test description,
19,"Netherlands, in-house S1","Netherlands, in-house anti-spike assay",S,IgG,indirect,CMIA,"https://jech.bmj.com/content/75/6/489  [n-34]  ,  which cites: https://academic.oup.com/jid/article/222/9/1452/5885163",design inferred from test description,
--,"Obolensk, ELISA (State Scientific Center of Applied Microbiology and Biotechnology)",Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology),N,IgG,,ELISA,https://journal.microbe.ru/jour/article/view/1371/1150,,
3,"Orient Gene Biotech, rapid test",Orient Gene Biotech COVID-19 IgG/IgM Rapid Test anti-spike,S,IgG IgM,indirect,LFIA,"http://www.bvs.hn/COVID-19/Plataforma/OrientGene_INSERTO.pdf  ,  https://www.medrxiv.org/content/10.1101/2021.05.08.21256893v1.full.pdf  ,  https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(21)00207-3/fulltext",design inferred from test description,
96,"Panbio, rapid test",Panbio IgG/IgM rapid test,N,IgG IgM,indirect,LFIA,https://www.globalpointofcare.abbott/en/product-details/panbio-covid-19-igg-igm-antibody-test.html,design inferred from test description,
--,"PCL, rapid test, gold",PCL COVID-19 IgG/IgM Rapid Gold,N,IgG IgM,indirect,LFIA,"https://www.vitrexmedical.com/wp-content/uploads/2020/05/IFU-Cov03_2020-05_GB.pdf  ,  https://www.medrxiv.org/content/10.1101/2021.01.14.21249620v1.full",design inferred from test description,
77,"Pishtaz Teb, ELISA",Pishtaz Teb SARS-CoV-2 ELISA kits (for nucleocapsid),N,IgG IgM,indirect,ELISA,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8278025/  ,  https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30858-6/fulltext",design stated in appendix of Poustchi,
44,"Premier Biotech, rapid test",Premier Biotech COVID-19 IgG/IgM Rapid Test anti-RBD,RBD,IgG IgM,indirect,LFIA,https://premierbiotech.com/innovation/wp-content/uploads/2020/12/Attachment-1_06_clean-version-Proposed-Premier-Biotech-IFU-with-POC-fingerstick-12212020.pdf,design inferred from test description,
97,"Qingdao Hightop, rapid test",Qingdao Hightop IgG/IgM one step rapid test,"N, S",IgG IgM,indirect,LFIA,"https://web.archive.org/web/20210730233641/https://www.medica.de/vis-content/event-medcom2020.MEDICA/exh-medcom2020.2677845/MEDICA-2020-QINGDAO-HIGHTOP-BIOTECH-CO.-LTD-Product-medcom2020.2677845-2ChZsL7lSdS2p9Huhl7udg.pdf  ,  https://www.medrxiv.org/content/10.1101/2022.04.04.22273232v2.full-text",design inferred from test description,
105,"RightSign, rapid test",RightSign IgG/IgM rapid test,RBD,IgG IgM,indirect,LFIA,https://www.fda.gov/media/138660/download,design inferred from test description,
12,Roche Elecsys N,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM,N,IgG IgM IgA,sandwich,CMIA,"https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html  ,  https://diagnostics.roche.com/us/en/landing-pages/elecsys--anti-sars-cov-2-testing-sites.html#Anti-SARS-CoV-2-Qualitative-Nucleocapsid 
 ,  https://onlinelibrary.wiley.com/doi/10.1002/jmv.27126  ,  https://www.sciencedirect.com/science/article/pii/S138665322100319X",design stated in Scheiblauer et al. citation,
17,Roche Elecsys S,Elecsys Anti-SARS-CoV-2 Roche spike,RBD,IgG IgM IgA,sandwich,CMIA,"https://diagnostics.roche.com/global/en/products/params/elecsys-anti-sars-cov-2-s.html  ,  https://diagnostics.roche.com/us/en/landing-pages/elecsys--anti-sars-cov-2-testing-sites.html#Anti-SARS-CoV-2-Semi-Quantitative-Spike  ,  https://www.sciencedirect.com/science/article/pii/S138665322100319X",design stated in Scheiblauer et al. citation,
--,"Roche, rapid test, S + N",Roche SARS-CoV-2 rapid antibody test anti-spike anti-nucleocapsid IgG IgM,"N, S",IgG IgM,indirect,LFIA,"https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material  ,  https://diagnostics.roche.com/global/en/products/params/sars-cov-2-rapid-antibody-test.html  ,  https://journals.asm.org/doi/10.1128/spectrum.02709-21","design inferred (""G"" line separate from an ""M"" line, likely feasible on indirect not sandwich)",
106,"SD Biosensor, Standard Q, Combo",Standard Q IgM/IgG Combo,N,IgG IgM,indirect,LFIA,https://drive.google.com/file/d/1jhtKrL0Wb3LA6_wcz1T3Ql1ihn2aR_lg/view,design inferred from test description,
61,"SD Biosensor, Standard Q, Plus",Standard Q COVID-19 IgM/IgG Plus,"N, RBD",IgG IgM,indirect,LFIA,"https://www.sdbiosensor.com/product/product_view?product_no=239  ,  https://www.finddx.org/product/standard-q-covid-19-igm-igg-plus-test/  ,  https://bestbion.com/wp-content/uploads/2021/05/bestbiondx-GA-STANDARD-Q-COVID-19-IgMIgG-Plus.pdf",design inferred from test description,
26,SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological),SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological),S,IgG IgA,indirect,ELISA,"https://journals.asm.org/doi/10.1128/JVI.01828-20  ,  https://www.unifr.ch/med/imf/fr/assets/public/images/COVID-19/2020-PopHealthLab-Corona-Immunitas-E1.pdf",design inferred from test description,
104,"Shenzhen YHLO iFlash, S + N",YHLO iFlash SARS CoV-2 (spike + nucleocapsid),N + S,IgG IgM,indirect,CMIA,"https://www.medrxiv.org/content/10.1101/2021.03.19.21253962v1.full  [n-297]  ,  https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0247711","design inferred from test description, treat antigen target as N since seroreversions is likely worse for that",
59,"Siemens Advia Centaur, total",Siemens SARS-CoV-2 Total Advia Centaur,RBD,IgG IgM,sandwich,CMIA,"https://www.fda.gov/media/138446/download  ,  https://www.siemens-healthineers.com/en-us/laboratory-diagnostics/assays-by-diseases-conditions/infectious-disease-assays/cov2t-assay",design inferred from test description,"https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material , https://www.biozek.com/corona-virus-covid-rapid-test/"
--,Siemens Advia SARS-CoV-2 IgG anti-RBD,Siemens Advia SARS-CoV-2 IgG anti-RBD,RBD,IgG,indirect,CMIA,"https://www.fda.gov/media/150238/download  ,  https://www.siemens-healthineers.com/en-us/laboratory-diagnostics/assays-by-diseases-conditions/infectious-disease-assays/sars-cov-2-igg-assay","design inferred from test description, despite PDF misleadingly saying its ""sandwich""",
40,"Sinai Health (Toronto) ELISA, lenient cutoff, N S RBD","Sinai Health (Toronto) anti-spike anti-RBD anti-nucleocapsid ELISA, lenient cutoff","N, RBD, S",IgG,indirect,CMIA,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2789086  [n-203],design inferred from test description,
39,"Sinai Health (Toronto) ELISA, S",Sinai Health (Toronto) anti-spike ELISA,S,IgG,indirect,CMIA,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2789086  [n-203],design inferred from test description,
51,SNIBE Maglumi,SNIBE Maglumi spike nucleocapsid IgG IgM ,"N, S",IgG IgM,indirect,CMIA,https://www.ncbi.nlm.nih.gov/books/NBK572322/bin/fdacovideuas_142233.pdf,design inferred from test description,
22,Stanford Health Care ELISA,Stanford Health Care RBD ELISA,RBD,IgG,indirect,ELISA,"https://drive.google.com/drive/folders/1CC6cPfOWLSXH6uqkd2_q-HZSry1cctRt  ,  https://www.science.org/doi/10.1126/sciimmunol.abe0240",design inferred from test description,
24,"Stockholm in-house, S",Stockholm County in-house dual-S anti-spike,S,IgG,indirect,CMIA,"https://www.nature.com/articles/s41467-020-18848-0  ,  https://www.nature.com/articles/s41467-021-23893-4 (table S6)",design inferred from test description,
109,"Techno Genetics, anti-RBD POCT","Techno Genetics anti-RBD, nCOVID-19 IgG/IgM POCT (point-of-care test)",RBD,IgG IgM,indirect,LFIA,"https://validahealth.dk/wp-content/uploads/2020/09/valida-health-antibody-test-details-sheet.pdf  ,  https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-022-07031-z  [n-150]",design inferred from test description,
9,"Techno Genetics, rapid test, gold","Techno Genetics, Rapid Test SARS-CoV-2 IgM/IgG Gold, anti-nucleocapsid",N,IgG IgM,indirect,LFIA,"https://cdn.shopify.com/s/files/1/0094/4698/1732/files/POCT_-_VR-11_Clinical_Study.pdf?v=1591354196%20,%20https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8038148/  ,  https://smw.ch/article/doi/smw.2021.w30116",design inferred from test description,
29,"Testsealabs, rapid test",Testsealabs COVID-19 IgG IgM rapid test,S,IgG IgM,indirect,LFIA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7462449/,"design inferred (""G"" and ""M"" separation likely feasible on indirect not sandwich)",
37,"THL Finland FMIA, S IgG",in-house THL Finland FMIA anti-spike assay,S,IgG,indirect,CMIA,"https://journals.asm.org/doi/epub/10.1128/Spectrum.01131-21  ,  https://onlinelibrary.wiley.com/doi/10.1002/eji.202149535",design inferred from test description,
--,THL Finland neutralization,in-house THL Finland neutralization assay,--,--,,NT (cell),https://journals.asm.org/doi/epub/10.1128/Spectrum.01131-21,,
113,"THSTI ELISA, RBD","Translational Health Sci and Tech Institute, in-house RBD ELISA",RBD,IgG,indirect,ELISA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7444492/,design inferred from test description,
48,Tosoh N total with AIA-CL1200 ,Tosoh anti-nucleocapsid total Ig with AIA-CL1200,N,IgG IgM IgA etc.,sandwich,CMIA,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,design inferred from test description,
--,Tosoh N with AIA-CL1200 ,Tosoh anti-nucleocapsid IgG with AIA-CL1200,N,IgG,indirect,CMIA,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,design inferred from test description,
--,Tosoh S total with AIA-CL1200 ,Tosoh anti-spike total Ig with AIA-CL1200,RBD,IgG IgM IgA etc.,sandwich,CMIA,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,design inferred from test description,
--,Tosoh S with AIA-CL1200 ,Tosoh anti-spike IgG with AIA-CL1200,RBD,IgG,indirect,CMIA,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,design inferred from test description,
107,"Tunis, in-house ELISA",in-house ELISA for N protein and S protein from IPT (Institut Pasteur in Tunis),"N, RBD",IgG,,ELISA,https://www.researchsquare.com/article/rs-1317280/v2,,
76,UFRJ (University of Rio de Janeiro) ELISA,University of Rio de Janeiro (UFRJ) anti-spike ELISA,S,IgG,indirect,ELISA,https://www.medrxiv.org/content/10.1101/2020.07.13.20152884v6.full.pdf,design inferred from test description,
99,"UNCOV-40, rapid test",UNCOV-40 IgG/IgM,"N, S",IgG IgM,indirect,LFIA,"https://www.antibodies.com/datasheets/UNscience/UNCOV-40.pdf  ,  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9931394/",design inferred from test description,
2,University of Oxford,"University of Oxford, IgG for spike",S,IgG,indirect,ELISA,"https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext  ,  https://www.medrxiv.org/content/10.1101/2020.05.31.20118554v4.full-text",design stated in text and further confirmed from test description,
--,Vector-Best IgG-EIA-BEST,Vector-Best SARS-CoV-2-IgG-ELISA-Best,S,IgG,indirect,ELISA,"https://onlinelibrary.wiley.com/doi/10.1002/jmv.27126  ,  http://www.vector-best.ru/en/prod/index.php?SECTION_ID=2724","design inferred (separating IgG from other isotypes, likely feasible on indirect not sandwich)",
13,"Vitros Ortho, RBD CoV2T total",Vitros Ortho total Ig anti-spike,RBD,IgG IgM IgA etc.,sandwich,CMIA,"https://www.sciencedirect.com/science/article/pii/S138665322100319X  ,  https://www.fda.gov/media/136967/download ",design inferred from test description,
