seroreversion accounted for,test_id,source  (F=FDA testing/M=manufacturer [sometimes through FDA]/O = other),citation,test_name,sensitivity_estimate,sen_lower95CI,sen_upper95CI,number of COVID+ testing seropositive for sensitivity (TP),total number of COVID+ tested for sensitivity (TP + FN),specificity_estimate,spec_lower95CI,spec_upper95CI,number of COVID- testing seronegative for specificity (TN),total number of COVID- tested for specificity (TN + FP),notes
N/A (baseline),75-M,M,https://drive.google.com/file/d/1ATIHN4yKm_X9GPgJZER46e9YSJZfuO6R/view  [ https://archive.ph/3yma6 ],CTK Biotech Onsite COVID 19 IgG/IgM rapid test kit,97.1,93.9,98.7,204,210,97.8,95.2,99.0,264,270,
N/A (baseline),75-F,F,https://www.accessdata.fda.gov/cdrh_docs/presentations/maf/maf3355-a001.pdf,CTK Biotech Onsite COVID 19 IgG/IgM rapid test kit,100,88.7,100,30,30,98.8,93.3,99.8,79,80,
N/A (baseline),15-M,M,https://www.diasorin.com/sites/default/files/allegati/liaisonr_sars-cov-2_s1s2_igg_brochure.pdf.pdf,Diasorin Liaison S1/S2 spike IgG,97.4,86.8,99.5,38,39,99.3,98.6,99.6,1082,1090,
N/A (baseline),15-O,O,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893435/Evaluation_of_Diasorin_Liaison_anti_SARS_CoV_2.pdf,Diasorin Liaison S1/S2 spike IgG,76.5,,,65,85,,,,489,499,equivocal results included with positives
N/A (baseline),--  (M),M,https://ptgenetika.com/wp-content/uploads/2020/03/Pack-insert-DNK-1419-1-2019-nCOV-IgG-IgM-Rapid-Test.pdf,Dynamiker IgG/IgM rapid test,93.2,,,151,162,95.3,,,286,300,
N/A (baseline),12-M,M,https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM,99.5,97,100,185,186,99.80,99.69,99.88,10432,10453,
N/A (baseline),12-M,M,via: https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM,100,88.3,100,29,29,99.8,99.7,99.9,5262,5272,
N/A (baseline),12-O,O,https://onlinelibrary.wiley.com/doi/10.1002/jmv.27126,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM,89.1,76.4,96.4,41,46,,,,,,
N/A (baseline),17-M,M,https://diagnostics.roche.com/global/en/products/params/elecsys-anti-sars-cov-2-s.html,Elecsys Anti-SARS-CoV-2 Roche spike,98.8,98.1,99.3,1406,1423,100.0,,,7090,7091,
N/A (baseline),--  (M),M,https://static1.squarespace.com/static/52545951e4b021818110f9cf/t/5fcebf83ca1f943ff5a447c3/1607384968098/KT-1032+RUO+V6+2020-12.pdf,EDI Novel coronavirus COVID19 IgG anti-nucleocapsid,98.4,95.4,99.5,184,187,99.8,99.1,99.97,623,624,
N/A (baseline),46-M,M,"n-253 , https://www.nature.com/articles/s41598-020-76913-6#Sec14  (figure S7)",Enable’s ADAP SARS-CoV-2 total antibody anti-nucleocapsid,,,,20,20,,,,100,100,
N/A (baseline),48-M,M,https://www.nature.com/articles/s41598-020-76913-6#Sec14,Enable’s ADAP SARS-CoV-2 total antibody anti-spike,100,89,100,31,31,100,95,100,80,80,
N/A (baseline),--  (M),M,https://erbalisacovid19.erbamannheim.com/getattachment/Home/image-content/Covid/ErbaLisa-COVID-19-IgG_flyer.pdf.aspx?lang=en-US&ext=.pdf,ERBALISA COVID-19 IgG,98.3,,,57,58,98.1,,,105,107,
N/A (baseline),--  (O),O,https://academic.oup.com/trstmh/advance-article/doi/10.1093/trstmh/trab109/6335791,ERBALISA COVID-19 IgG,99.12,,,,,99.33,,,,,
N/A (baseline),--  (M),M,https://www.coronavirus-diagnostics.com/documents/Indications/Infections/Coronavirus/YI_2606_I_UK_C.pdf,Euroimmun anti-nucleocapsid IgG IgM,94.6,,,53,56,99.8,,,1245,1248,
N/A (baseline),6-M,M,https://www.coronavirus-diagnostics.com/documents/Indications/Infections/Coronavirus/YI_2606_I_UK_C.pdf,Euroimmun anti-spike,94.4,,,68,72,99.6,,,1362,1367,
N/A (baseline),1-O,O,"n-14 , https://thorax.bmj.com/content/75/12/1082 [table 2 (finger-prick only)]","Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)",84.4,70.5,93.5,38,45,98.6,97.1,99.4,493,500,
N/A (baseline),78-M,M,https://pass.genetico.ru/,Genetico CoronaPass total antibodies test for spike,95.7,,,90,94,97.6,,,444,455,
N/A (baseline),78-O,O,https://onlinelibrary.wiley.com/doi/10.1002/jmv.27126,Genetico CoronaPass total antibodies test for spike,91.1,78.8,97.5,42,46,100,91.6,100,41,41,
N/A (baseline),--  (M),M,https://www.genscript.com/gsfiles/techfiles/GS-SOP-CPTS001G-05_L00847-C.pdf?651186757  [page 12],GenScript cPass neutralization kit,96.7,,,29,30,96.7,,,58,60,
N/A (baseline),--  (M) [send via FDA],M,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,GenScript cPass neutralization kit,100,87.1,100,26,26,100,95.8,100,88,88,
N/A (baseline),28-M,M,https://pellecome.com/wp-content/uploads/2020/03/ClungeneIFU-Amended.pdf,Hangzhou Clongene IgM/IgG rapid test,87.0,,,67,77,98.9,,,89,90,
N/A (baseline),10-M,M,https://sa1s3.patientpop.com/assets/docs/240677.pdf,Healgen COVID-19 IgG/IgM rapid test cassettes,96.7,90.7,98.9,87,90,97.0,,,98,101,
N/A (baseline),10-F,F,via: https://sa1s3.patientpop.com/assets/docs/240677.pdf,Healgen COVID-19 IgG/IgM rapid test cassettes,100,88.7,100,30,30,97.5,91.3,99.3,78,80,
N/A (baseline),--  (M),M,https://www.immundiagnostik.com/media/pages/testkits/k-5004/e859ef5a82-1647309682/k5004_2021-08-10_idk_sars-cov-2-igg.pdf  [page 10],IDK (Immundiagnostik) anti-spike IgG,100,,,30,30,99.1,,,755,762,
N/A (baseline),--  (M),M,https://inbios.com/wp-content/uploads/2021/05/LBL-0113-03-EUA-CE-SCoV-2-Detect-IgG-ELISA-product-insert-English.pdf,InBios SCoV-2 Detect IgG anti-spike ELISA,98.5,,,66,67,98.9,94.3,99.8,94,95,
N/A (baseline),--  (F),F,via: https://inbios.com/wp-content/uploads/2021/05/LBL-0113-03-EUA-CE-SCoV-2-Detect-IgG-ELISA-product-insert-English.pdf,InBios SCoV-2 Detect IgG anti-spike ELISA,100,88.7,100,30,30,100,95.4,100,80,80,
N/A (baseline),60-M,M,https://eurofinsgenomics.eu/media/1611049/technical-sheet-ingezim-covid-19-dr-030620_en.pdf,INgezim COVID 19 DR Test,92.6,,,150,162,98.3,,,114,116,
N/A (baseline),60-O,O,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7521368/,INgezim COVID 19 DR Test,90.1,,,64,71,91.07,,,51,56,
N/A (baseline),--  (M),M,https://assets.researchsquare.com/files/rs-1317280/v2/d5989c78-d104-4e93-9a01-7ac984b019dd.pdf?c=1643999039,in-house ELISA for N protein and S protein from IPT (Institut Pasteur in Tunis),95.4,,,103,108,93.1,,,67,72,
N/A (baseline),102-M,M,https://www.nature.com/articles/s41598-021-97423-z  [n-287],in-house Jefferson County anti-spike IgG,100,,,38,38,98.8,,,79,80,
N/A (baseline),70-M,M,https://academic.oup.com/ije/advance-article/doi/10.1093/ije/dyab217/6414575?rss=1  [n-99],in-house Luminex S protein trimer IgG,100.0,,,15,15,100,,,31,31,
N/A (baseline),37-M,M,https://journals.asm.org/doi/epub/10.1128/Spectrum.01131-21,in-house THL Finland FMIA anti-spike assay,100.0,97.3,100,140,140,100,99.1,100,402,402,
N/A (baseline),--  (M),M,https://journals.asm.org/doi/epub/10.1128/Spectrum.01131-21 [figure 5],in-house THL Finland neutralization assay,92.5,,,37,40,,,,,,
N/A (baseline),--  (M),M,https://www.frontiersin.org/articles/10.3389/fmicb.2020.618097/full [Mehdi et al.],in-house RBD ELISA (Mehdi et al.),84.7,,,238,281,99.8,,,469,470,
N/A (baseline),--  (M),M,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7530443/,Kavach-AntiSARS-CoV-2 IgG ELISA (Zydus),92.4,,,121,131,97.9,,,374,382,
N/A (baseline),--  (O),O,https://academic.oup.com/trstmh/advance-article/doi/10.1093/trstmh/trab109/6335791,Kavach-AntiSARS-CoV-2 IgG ELISA (Zydus),92.1,,,,,97.7,,,,,
,,,"n-218 , https://www.labcorp.com/tests/164055/sars-cov-2-antibody-igg",LabCorp SARS-CoV-2 semi-quantitative IgG anti-spike,,,,,,,,,,,
N/A (baseline),7-M,M,http://www.livzondiagnostics.com/en-us/info/17.html,Livzon COVID-19 IgG IgM lateral flow,90.6,,,259,286,99.2,,,355,358,
N/A (baseline),7-F,F,https://www.accessdata.fda.gov/cdrh_docs/presentations/maf/maf3285-a001.pdf,Livzon COVID-19 IgG IgM lateral flow,86.7,70.3,94.7,26,30,97.5,91.3,99.3,78,80,
N/A (baseline),--  (M),M,https://tetracore.com/wp-content/uploads/2021/04/FlexImmArraySARS-CoV-2IgGkitIFU_ver05122020_web.pdf,Luminex Tetracore FlexImmArray S NP,100.0,,,43,43,100.0,,,308,308,
N/A (baseline),--  (O),O,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9241621/,Luminex Tetracore FlexImmArray S NP,,,,,,,,,,,
N/A (baseline),34-M,M,"n-174 , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Luminex xMAP for spike and nucleocaspid (Los Angeles study used RBD portion),96.3,,,79,82,99.3,98.3,99.7,599,603,
N/A (baseline),--  (M),M,https://www.lumiradx.com/us-en/test-menu/antibody-test,LumiraDx SARS-CoV-2 anti-spike antibody test,100,,,57,57,100,,,53,53,
N/A (baseline),--  (F),F,via: https://www.lumiradx.com/assets/pdfs/covid-19-antibody-test/sars-cov-2-antibody-ab-product-insert/sars-cov-2-ab-product-insert-eua.pdf?v=1,LumiraDx SARS-CoV-2 anti-spike antibody test,100,,,30,30,100,,,80,80,
N/A (baseline),--  (O),O,https://www.lumiradx.com/assets/pdfs/covid-19-antibody-test/sars-cov-2-antibody-ab-product-insert/sars-cov-2-ab-product-insert-eua.pdf?v=1,LumiraDx SARS-CoV-2 anti-spike antibody test,100,,,55,55,100,98.7,100,290,290,
N/A (baseline),27-M,M,https://wwwnc.cdc.gov/eid/article/27/6/21-0568_article,"Massachusetts General Hospital, anti-spike ELISA",65.5,,,655,1000,100.0,,,104,104,
N/A (baseline),--  (M),M,https://www.mikrogen.de/english/products/product-overview/testsystem/sars-cov-2-igg-aviditaet-ruo.html,Mikrogen GmbH recomLine SARS-CoV-2 IgG,97.9,,,46,47,99.8,,,570,571,
N/A (baseline),35-M,M,n-178,Mount Sinai RBD ELISA (New York),96.8,,,122,126,94.1,,,,,
N/A (baseline),19-M,M,n-138,"Netherlands, in-house anti-spike assay",91.6,,,,,99.7,,,,,
N/A (baseline),--,#N/A,,Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology),,,,,,,,,,,
N/A (baseline),3-M,M,http://www.bvs.hn/COVID-19/Plataforma/OrientGene_INSERTO.pdf,Orient Gene Biotech COVID-19 IgG/IgM Rapid Test,87.9,,,87,99,100,,,14,14,
N/A (baseline),3-O,O,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7383543/,Orient Gene Biotech COVID-19 IgG/IgM Rapid Test,95.8,89.6,98.8,91,95,100.0,93.4,100,42,42,
N/A (baseline),--,M,https://www.globalpointofcare.abbott/en/product-details/panbio-covid-19-igg-igm-antibody-test.html  [ https://ensur.invmed.com/ensur/contentAction.aspx?key=ensur.519138.S2R4E4A3.20200413.450.3904912 ],Panbio IgG/IgM rapid test,96.2,80.4,99.9,25,26,100.0,85.8,100,24,24,
N/A (baseline),--,O,https://www.sciencedirect.com/science/article/pii/S1386653220303875,Panbio IgG/IgM rapid test,98.2,,,107,109,99.4,,,149,150,
N/A (baseline),--  (F),F,https://www.accessdata.fda.gov/cdrh_docs/presentations/maf/maf3286-a001.pdf,PCL COVID-19 IgG/IgM Rapid Gold,96.7,83.3,99.4,29,30,100,94.8,100,70,70,
N/A (baseline),77-O,O,https://www.medrxiv.org/content/10.1101/2021.03.12.21253442v2.full,Pishtaz Teb SARS-CoV-2 ELISA kits (for nucleocapsid),74,67,80,188,254,98,96,99,402,410,
N/A (baseline),44-M,M,https://premierbiotech.com/innovation/wp-content/uploads/2020/12/Attachment-1_06_clean-version-Proposed-Premier-Biotech-IFU-with-POC-fingerstick-12212020.pdf,Premier Biotech COVID-19 IgG/IgM Rapid Test anti-RBD,88.2,72.6,96.7,30,34,100,91.1,100,32,32,alternative source: https://academic.oup.com/ije/article/50/2/410/6146069#247859055  [section S2]
N/A (baseline),44-F,F,via: https://premierbiotech.com/innovation/wp-content/uploads/2020/12/Attachment-1_06_clean-version-Proposed-Premier-Biotech-IFU-with-POC-fingerstick-12212020.pdf,Premier Biotech COVID-19 IgG/IgM Rapid Test anti-RBD,100,88.7,100,30,30,100,95.4,100,80,80,alternative source: https://academic.oup.com/ije/article/50/2/410/6146069#247859055  [section S2]
N/A (baseline),44-O,O,https://academic.oup.com/ije/article/50/2/410/6146069#247859055  [section S2],Premier Biotech COVID-19 IgG/IgM Rapid Test anti-RBD,85.56,79.69,90.26,,,99.53,99.24,99.73,,,
N/A (baseline),--,M,https://www.medica.de/vis-content/event-medcom2020.MEDICA/exh-medcom2020.2677845/MEDICA-2020-QINGDAO-HIGHTOP-BIOTECH-CO.-LTD-Product-medcom2020.2677845-2ChZsL7lSdS2p9Huhl7udg.pdf,Qingdao Hightop IgG/IgM one step rapid test,94.1,,,193,205,93.9,,,324,345,
N/A (baseline),--,O,https://www.sciencedirect.com/science/article/pii/S1201971220322116,Qingdao Hightop IgG/IgM one step rapid test,59.5,51.4,67.1,,,100.0,96.8,100,,,
N/A (baseline),--,O,http://www.mjpath.org.my/2020/v42n1/COVID-19-serology.pdf,Qingdao Hightop IgG/IgM one step rapid test,93.0,,,279,300,96.0,,,960,1000,
N/A (baseline),--  (M),M,https://www.fda.gov/media/138660/download,RightSign IgG/IgM rapid test,96.2,92.0,98.3,152,158,98.1,95.1,99.3,206,210,
N/A (baseline),--  (F),F,https://www.fda.gov/media/138660/download,RightSign IgG/IgM rapid test,100.0,88.7,100,30,30,100.0,95.4,100,80,80,
N/A (baseline),--  (M),M,https://www.medrxiv.org/content/10.1101/2021.12.16.21267703v1.supplementary-material,Roche SARS-CoV-2 rapid antibody test anti-spike anti-nucleocapsid IgG IgM,99.03,94.71,99.98,102,103,98.65,96.1,99.72,219,222,
N/A (baseline),26-M,M,https://journals.asm.org/doi/10.1128/JVI.01828-20,SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological),96.6,,,28,29,99.7,,,363,364,cited in: https://link.springer.com/article/10.1007/s00038-020-01494-0
N/A (baseline),--  (M),M,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Siemens Advia SARS-CoV-2 IgG anti-RBD,95.6,92.3,97.5,238,249,99.9,99.6,100,1993,1995,
N/A (baseline),--  (M),M,https://www.siemens-healthineers.com/en-us/laboratory-diagnostics/assays-by-diseases-conditions/infectious-disease-assays/sars-cov-2-igg-assay,Siemens Advia SARS-CoV-2 IgG anti-RBD,96.41,,,,,99.90,,,1993,1995,
N/A (baseline),59-M,M,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Siemens SARS-CoV-2 Total Advia Centaur,100,92.4,100,47,47,99.8,99.4,99.9,1586,1589,
N/A (baseline),59-M,M,https://www.siemens-healthineers.com/en-us/laboratory-diagnostics/assays-by-diseases-conditions/infectious-disease-assays/cov2t-assay,Siemens SARS-CoV-2 Total Advia Centaur,98.73,,,,,99.81,,,,,
N/A (baseline),39-M,M,n-169 (main text and table S1),Sinai Health (Toronto) anti-spike ELISA,95.5,,,384,402,99.12,,,,339,
N/A (baseline),40-M,M,n 203 (supplemental material),"Sinai Health (Toronto) anti-spike anti-RBD anti-nucleocapsid ELISA, lenient cutoff",98,,,95,97,99,,,89,90,
N/A (baseline),51-M,M,https://www.ncbi.nlm.nih.gov/books/NBK572322/bin/fdacovideuas_142233.pdf,SNIBE Maglumi spike nucleocapsid IgG IgM ,100.0,97.4,100.0,142,142,98.7,96.2,99.5,223,226,also at: https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance
N/A (baseline),61-M,M,https://drive.google.com/file/d/1yQvJf7_nDxIvdOFkuwppxs8b6G4hCHbG/view?usp=sharing,Standard Q COVID-19 IgM/IgG Plus,97.7,,,130,133,98.7,,,148,150,
N/A (baseline),--  (M),M,https://www.fda.gov/media/140297/download,Standard Q IgM/IgG Combo,98.2,,,55,56,99.5,,,368,370,
N/A (baseline),--  (F),F,https://www.fda.gov/media/140297/download,Standard Q IgM/IgG Combo,100.0,88.7,100,30,30,95.0,87.8,98,76,80,
N/A (baseline),--  (M),M,"https://validahealth.dk/wp-content/uploads/2020/09/valida-health-antibody-test-details-sheet.pdf  ,  https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-022-07031-z  [n-150]","Techno Genetics anti-RBD, nCOVID-19 IgG/IgM POCT (point-of-care test)",94.6,,,35,37,99.3,,,270,272,
N/A (baseline),9-M,M,"https://cdn.shopify.com/s/files/1/0094/4698/1732/files/POCT_-_VR-11_Clinical_Study.pdf?v=1591354196 , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8038148/","Techno Genetics, Rapid Test SARS-CoV-2 IgM/IgG Gold, anti-nucleocapsid",94.6,,,35,37,98.9,,,269,272,
N/A (baseline),--  (M),M,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,Tosoh anti-spike IgG with AIA-CL1200 ,100,97.6,100,153,153,100,99.63,100,1000,1000,
N/A (baseline),--  (M),M,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,Tosoh anti-nucleocapsid IgG with AIA-CL1200 ,100,97.6,100,153,153,100,99.63,100,1000,1000,
N/A (baseline),--  (M),M,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,Tosoh anti-spike total Ig with AIA-CL1200 ,100,97.6,100,153,153,100,99.63,100,1000,1000,
N/A (baseline),48-M,M,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,Tosoh anti-nucleocapsid total Ig with AIA-CL1200 ,100,97.6,100,153,153,100,99.63,100,1000,1000,
N/A (baseline),--  (M),M,https://www.antibodies.com/datasheets/UNscience/UNCOV-40.pdf,UNCOV-40 IgG/IgM,98.8,97.3,99.6,416,421,98.0,97.1,98.7,1141,1164,
N/A (baseline),76-M,M,https://www.medrxiv.org/content/10.1101/2020.07.13.20152884v6.full.pdf,University of Rio de Janeiro (UFRJ) anti-spike ELISA,95,,,344,362,98.6,,,142,144,
N/A (baseline),2-M,M,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30634-4/fulltext,"University of Oxford, IgG for spike",99.1,97.9,99.7,535,540,99.0,98.0,100.0,967,977,Oxford assay (from the Target Discovery Institute) assay is excluded for list of external commerical assays in table S2
N/A (baseline),--  (O),O,https://onlinelibrary.wiley.com/doi/10.1002/jmv.27126,Vector-Best SARS-CoV-2-IgG-ELISA-Best,89.1,76.4,96.4,41,46,100,91.4,100.0,41,41,
N/A (baseline),57-M,M,https://www.orthoclinicaldiagnostics.com/assets/images/AABB%20IgG%20Poster.pdf,Vitros Ortho (not total) IgG anti-spike,90.0,76.9,96.0,36,40,100,99.1,100.0,407,407,
N/A (baseline),13-M,M,"https://techdocs.ocdx.com/ [search for: ""Anti-SARS-CoV-2 Total"" among ""Reagent Instructions for Use""]  ;  also at: https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Vitros Ortho total Ig anti-spike,100,92.7,100,49,49,100,99,100,400,400,
N/A (baseline),--  (M),M,"https://consultas.anvisa.gov.br/api/consulta/produtos/25351200980202041/anexo/T12118646/nomeArquivo/Instru%C3%A7%C3%B5es%20de%20Uso_Rev%2001.pdf?Authorization=Guest 
 [ https://www.scielo.br/j/bjid/a/DZYQCFQg7WZhr49z7gTdKSK/?format=pdf&lang=en ]",Vyttra Smart Test COVID-19,100,,,,4,100,,,,6,test info: https://consultas.anvisa.gov.br/api/consulta/produtos/25351200980202041/anexo/T12118646/nomeArquivo/Instru%C3%A7%C3%B5es%20de%20Uso_Rev%2001.pdf?Authorization=Guest
N/A (baseline),8-M,M,https://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-ELISA.pdf,"Wantai ELISA, SARS-CoV-2 total antibody, IgG IgM (against RBD)",94.4,,,251,266,100.0,,,306,306,
