authors / representative study location,initial source,inclusion / exclusion,reason for exclusion,duplicate,study also found in search from representative samples (see column B),citations,,"Medrxiv, term 1","Medrxiv, term 2","PubMed, term 1","PubMed, term 2","Biorxiv, term 1","Biorxiv, term 2"
Herrera-Esposito + de los Campos,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.07.29.21261282v2.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Otter et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.10.26.21265497v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
"France, national location: Warszawski et al.",Medrxiv (also search from representative samples),included,-,Yes,Yes,"https://www.medrxiv.org/content/10.1101/2021.10.25.21265456v1.full-text  ,  https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06973-0  [n-149]",,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Campbell + Gustafoson,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.05.12.21256975v4.full-text,https://www.cambridge.org/core/journals/epidemiology-and-infection/article/inferring-the-covid19-infection-fatality-rate-in-the-communitydwelling-population-a-simple-bayesian-evidence-synthesis-of-seroprevalence-study-data-and-imprecise-mortality-data/2BED7DA2109703060E07ABB6E79D96DD,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Beck et al.,Medrxiv,excluded,special population (hospitalized patients and healthcare workers),,,https://www.medrxiv.org/content/10.1101/2021.10.13.21264968v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
van den Hoogen et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (multiplex immunoassay),,,https://www.medrxiv.org/content/10.1101/2021.10.05.21264555v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Krutikov et al. #1,Medrxiv,excluded,special population (nursing home),Yes,,https://www.medrxiv.org/content/10.1101/2021.09.27.21264166v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,"PubMed: ""COVID-19 seroreversion""",,,
Stone et al. #1,Medrxiv,excluded,special population (hospitalized patients and blood donors),,,https://www.medrxiv.org/content/10.1101/2021.09.04.21262414v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Takahashi et al.,Medrxiv,excluded,no seroreversion data (quantification needed for figures 2 and supplementary figure 9),,,https://www.medrxiv.org/content/10.1101/2021.09.09.21263139v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Banaji et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.04.08.21255101v2.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Davis et al. #1,Medrxiv,excluded,special population (healthcare workers and postgraduate students),,,https://www.medrxiv.org/content/10.1101/2021.08.23.21261638v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Dick et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.08.17.21262188v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Van Gordon et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.08.18.21262248v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Dulovic et al.,Medrxiv,excluded,post-vaccine seroreversion,,,https://www.medrxiv.org/content/10.1101/2021.08.16.21262115v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Susswein et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.08.09.21261807v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
St. Petersburg location: Barchuk et al. #1,Medrxiv (also search from representative samples),excluded,assays not used individually,Yes,Yes,https://www.medrxiv.org/content/10.1101/2021.07.31.21261428v2.full-text,"https://eusp.org/news/k-seredine-avgusta-koronavirusom-perebolelo-menee-13-zhiteley-sankt-peterburga  ,  https://eusp.org/en/news/over-1-million-st-petersburg-residents-have-had-covid-19-since-the-onset-of-the-pandemic","Medrxiv: ""COVID-19 seroreversion""",,,,,
He et al. #1,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.03.25.21254281v4.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
He et al. #2,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.02.18.21251809v4.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Alleman et al.,Medrxiv,excluded,special population (hospitalized patients),,,https://www.medrxiv.org/content/10.1101/2020.07.17.20156034v4.full-text,https://www.sciencedirect.com/science/article/pii/S1755436521000542?via%3Dihub,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Nourbakhsh et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.07.19.21260773v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Renk et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (no seroreversion data for the commercial assays used),,,https://www.medrxiv.org/content/10.1101/2021.07.20.21260863v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Bouman et al.,Medrxiv (also search from representative samples),included,-,,Yes (Geneva [for Corona Immunitas]),https://www.medrxiv.org/content/10.1101/2021.07.19.21260410v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Ireland et al.,Medrxiv,excluded,special population (staff and students at schools),Yes,,https://www.medrxiv.org/content/10.1101/2021.07.14.21260502v2.full-text,https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00430-2/fulltext,"Medrxiv: ""COVID-19 seroreversion""",,"PubMed: ""COVID-19 seroreversion""",,,
Ladhani et al.,Medrxiv,excluded,special population (staff and students at schools),,,https://www.medrxiv.org/content/10.1101/2021.07.14.21260496v1.full-text,https://www.journalofinfection.com/article/S0163-4453(21)00401-1/fulltext,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Hodgson et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2021.07.07.21260151v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Swadling et al.,Medrxiv,excluded,special population (healthcare workers),Yes,,https://www.medrxiv.org/content/10.1101/2021.06.26.21259239v1.full-text,https://www.nature.com/articles/s41586-021-04186-8,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Assefa et al.,Medrxiv,excluded,special population (pregnant women),,,https://www.medrxiv.org/content/10.1101/2021.06.17.21257323v1.full-text,https://bmjopen.bmj.com/content/11/11/e055834.long,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Brand et al.,Medrxiv,excluded,no seroreversion data,Yes,,https://www.medrxiv.org/content/10.1101/2021.06.17.21259100v1.full-text,https://www.science.org/doi/10.1126/science.abk0414,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Strengert et al.,Medrxiv,excluded,"post-vaccine seroreversion, special population (dialysis patients)",,,https://www.medrxiv.org/content/10.1101/2021.05.26.21257860v1.full-text,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(21)00317-0/fulltext,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Adiga et al.,Medrxiv,excluded,no seroreversion data,Yes,,https://www.medrxiv.org/content/10.1101/2021.05.26.21257836v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Allen et al.,Medrxiv,excluded,special population (healthcare workers),Yes,,https://www.medrxiv.org/content/10.1101/2021.05.25.21257772v1.full-text,https://journals.asm.org/doi/10.1128/Spectrum.00391-21,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Hartwig et al.,Medrxiv,excluded,Wondfo assay,,,https://www.medrxiv.org/content/10.1101/2021.05.21.21257634v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Castillo-Olivares et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.05.21.21257572v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Ortega et al.,Medrxiv,excluded,special population (healthcare workers),Yes,,https://www.medrxiv.org/content/10.1101/2021.02.22.21252150v2,https://www.nature.com/articles/s41467-021-24979-9,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Saluzzo et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.05.08.21256893v1.full-text,https://journals.asm.org/doi/10.1128/Spectrum.00250-21,"Medrxiv: ""COVID-19 seroreversion""",,,,,
"Dekalb + Fulton (COVIDVu, in Georgia) location: Chamberlain et al.",Medrxiv (also search from representative samples),excluded,subset of already included samples,Yes,Yes,https://www.medrxiv.org/content/10.1101/2021.05.06.21256407v1.full-text,https://doi.org/10.1093/infdis/jiab522,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Laing et al. #1,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (multiplex immunoassay and neutralization assay),Yes,,https://www.medrxiv.org/content/10.1101/2021.04.27.21256207v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Gonzalez et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (Luminex),,,https://www.medrxiv.org/content/10.1101/2021.04.28.21256122v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Sagara et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,Yes,,https://www.medrxiv.org/content/10.1101/2021.04.26.21256016v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Anderson et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.04.16.21255130v1.full-text,https://www.sciencedirect.com/science/article/pii/S1386653221001220?via%3Dihub,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Bottomley et al.,Medrxiv,excluded,no seroreversion data,Yes,,https://www.medrxiv.org/content/10.1101/2021.04.09.21254250v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Chandran et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.03.30.21254540v2.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Chaudhury et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.03.23.21253460v1.full-text,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0252628,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Pons-Salort et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.03.23.21254092v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Fernandez-Fuertes et al.,Medrxiv,excluded,special population (HIV patients),,,https://www.medrxiv.org/content/10.1101/2021.03.20.21253397v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Elyanow et al.,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2021.03.19.21251426v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Perez-Saez et al.,Medrxiv (also search from representative samples),excluded,no non-serologic initial diagnosis,Yes,Yes (Geneva [for Corona Immunitas]),https://www.medrxiv.org/content/10.1101/2021.03.16.21253710v1.full-text,https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(21)00371-2/fulltext  [n-136],"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Chen et al. #1,Medrxiv,excluded,no seroreversion data,Yes (x2),,https://www.medrxiv.org/content/10.1101/2021.01.08.21249432v2.full-text,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1009436,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""","PubMed: ""COVID-19 seroreversion""",,,
Williamson et al.,Medrxiv,excluded,no seroreversion data,Yes,,https://www.medrxiv.org/content/10.1101/2021.03.11.21253226v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Spain national location: Pérez-Olmeda,Medrxiv (also search from representative samples),included,-,Yes,Yes,https://www.medrxiv.org/content/10.1101/2021.03.11.21253142v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
De Giorgi et al.,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2021.03.08.21253093v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Becker et al.,Medrxiv,excluded,post-vaccine seroreversion,,,https://www.medrxiv.org/content/10.1101/2021.03.08.21252958v1.full-text,https://www.nature.com/articles/s41467-021-23473-6,"Medrxiv: ""COVID-19 seroreversion""",,,,,
García-Abellán et al.,Medrxiv,excluded,special population (hospitalized patients),Yes (x2),,https://www.medrxiv.org/content/10.1101/2021.03.08.21253124v1.full-text,https://link.springer.com/article/10.1007/s10875-021-01083-7,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""","PubMed: ""COVID-19 seroreversion""",,,
Meyer et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2021.03.04.21252939v1.full-text,https://academic.oup.com/aje/advance-article/doi/10.1093/aje/kwab273/6427250,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Peluso et al.,Medrxiv,included,-,Yes (x3),,https://www.medrxiv.org/content/10.1101/2021.03.03.21251639v1.full-text,https://www.science.org/doi/10.1126/sciadv.abh3409,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""","PubMed: ""COVID-19 seroreversion"" (twice)",,,
Menon et al.,Medrxiv,excluded,special population (healthcare workers),Yes,,https://www.medrxiv.org/content/10.1101/2021.03.02.21252362v1.full-text,https://bmjopen.bmj.com/content/11/10/e051045,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Fischer et al.,Medrxiv,excluded,special population (elderly/older cohort),,,https://www.medrxiv.org/content/10.1101/2021.02.23.21251891v1.full-text,https://www.mdpi.com/2075-1729/11/8/805,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Harris et al.,Medrxiv,excluded,special population (healthcare workers),"Yes (x3, including Fei et al.)",,https://www.medrxiv.org/content/10.1101/2020.10.21.20216689v2.full-text,https://www.journalofinfection.com/article/S0163-4453(21)00132-8/fulltext,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""","PubMed: ""COVID-19 seroreversion""",,,
Pei et al.,Medrxiv,excluded,no seroreversion data,Yes,,https://www.medrxiv.org/content/10.1101/2021.02.15.21251777v1.full-text,https://www.nature.com/articles/s41586-021-03914-4,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Chisolm et al.,Medrxiv,excluded,special population (pregnant women),,,https://www.medrxiv.org/content/10.1101/2021.02.08.21251367v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Gittelman et al.,Medrxiv (also search from representative samples),included,-,,Yes (Vo'),https://www.medrxiv.org/content/10.1101/2020.11.09.20228023v2.full,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
UK orthodox community location: Gaskell et al.,Medrxiv (also search from representative samples),excluded,no sample size nor confidence intervals,Yes,Yes,https://www.medrxiv.org/content/10.1101/2021.02.01.21250839v1.full,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Levorson et al.,Medrxiv,excluded,special population (children),,,https://www.medrxiv.org/content/10.1101/2021.01.28.21250466v1.full,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Herrington et al. (The COVID-19 Community Research Partnership Study Group),Medrxiv,excluded,no seroreversion data (absent numerical values for figure 2D),Yes,,https://www.medrxiv.org/content/10.1101/2021.01.27.21250615v1.full,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06517-6,"Medrxiv: ""COVID-19 seroreversion""",,"PubMed: ""COVID-19 seroreversion""",,,
Tea et al.,Medrxiv,included,-,Yes,,https://www.medrxiv.org/content/10.1101/2020.12.19.20248567v2.full-text,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003656,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Bubar,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.09.08.20190629v3.full-text,https://www.science.org/doi/10.1126/science.abe6959,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Whitcombe et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (Luminex),Yes,,https://www.medrxiv.org/content/10.1101/2020.12.10.20246751v1.full-text,https://onlinelibrary.wiley.com/doi/10.1002/cti2.1261,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Pune location: Ghose et al.,Medrxiv (also search from representative samples),excluded,no seroreversion data,Yes,Yes,https://www.medrxiv.org/content/10.1101/2020.11.17.20228155v2.full-text  [n-84],,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Grandjean et al. #1,Medrxiv,excluded,special population (healthcare workers),Yes (x2),,https://www.medrxiv.org/content/10.1101/2020.11.20.20235697v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""","PubMed: ""COVID-19 seroreversion""",,,
Mieskolainen et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.11.19.20235036v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Lumley et al. #1,Medrxiv,excluded,special population (healthcare workers),Yes,,https://www.medrxiv.org/content/10.1101/2020.11.18.20234369v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Shioda et al.,Medrxiv,excluded,no seroreversion data,Yes (x3),,https://www.medrxiv.org/content/10.1101/2020.11.13.20231266v1.full-text,https://journals.lww.com/epidem/Fulltext/2021/07000/Estimating_the_Cumulative_Incidence_of_SARS_CoV_2.8.aspx,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""","PubMed: ""COVID-19 seroreversion"" (twice)",,,
Fisman et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.11.09.20223396v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Manisty et al.,Medrxiv,excluded,special population (healthcare workers),Yes,,https://www.medrxiv.org/content/10.1101/2020.11.04.20225920v2.full-text,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(21)00052-9/fulltext,"Medrxiv: ""COVID-19 seroreversion""",,"PubMed: ""COVID-19 seroreversion""",,,
Levin et al. #1,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.07.23.20160895v7.full-text,https://link.springer.com/article/10.1007/s10654-020-00698-1,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Mirzaie et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.10.22.20216317v1.full-text,https://brief.land/hepatmon/articles/111617.html,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Buss et al.,Medrxiv,excluded,no seroreversion data,Yes,,https://www.medrxiv.org/content/10.1101/2020.09.16.20194787v1.full-text,https://www.science.org/doi/10.1126/science.abe9728,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Snyder et al.,Medrxiv,excluded,assays not used individually,Yes,,https://www.medrxiv.org/content/10.1101/2020.07.31.20165647v3.full-text,,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Rostami et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.08.31.20185017v1.full-text,https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(20)30651-0/fulltext,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Moncunill et al.,Medrxiv,excluded,special population (healthcare workers),Yes,,https://www.medrxiv.org/content/10.1101/2020.08.23.20180125v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Leidner et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2020.08.16.20176107v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Cheng et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (peptide-protein hybrid microarray [PPHM] and unspecified CLIA),,,https://www.medrxiv.org/content/10.1101/2020.08.11.20172452v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Mariën et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.07.25.20161943v1.full-text,https://www.sciencedirect.com/science/article/pii/S0166093420302779?via%3Dihub,"Medrxiv: ""COVID-19 seroreversion""",,,,,
Iyer et al. #1,Medrxiv,excluded,special population (hospitalized patients),Yes,,https://www.medrxiv.org/content/10.1101/2020.07.18.20155374v1.full-text,,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Rosado et al.,Medrxiv,excluded,no seroreversion data,Yes,,https://www.medrxiv.org/content/10.1101/2020.05.07.20093963v2.full,,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Alexander et al.,Medrxiv,excluded,no seroreversion data,Yes,,https://www.medrxiv.org/content/10.1101/2020.06.09.20125724v1.full,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0247255,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Huang et al. #1,Medrxiv,excluded,no seroreversion data,Yes,,https://www.medrxiv.org/content/10.1101/2020.04.14.20065771v1.full,https://www.nature.com/articles/s41467-020-18450-4,"Medrxiv: ""COVID-19 seroreversion""","Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
The CONCOR-1 Study Group,Medrxiv,excluded,special population (hospitalized patients),,,https://www.medrxiv.org/content/10.1101/2021.06.29.21259427v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Bliden et al.,Medrxiv,excluded,post-vaccine,,,https://www.medrxiv.org/content/10.1101/2021.06.28.21259338v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Zhang et al.,Medrxiv,excluded,special population (first responders),,,https://www.medrxiv.org/content/10.1101/2021.06.27.21259432v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Davies et al. #1,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2021.06.21.21259254v2.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Gumel et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.12.11.20247916v4.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Adriaenssens et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2021.06.18.21259139v1.full-text,https://bmjopen.bmj.com/content/12/1/e054688,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
