citation_id,description,citation
n-26,"Germany, 7 counties study (5 counties preliminary analysis), SSRN pre-print",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3834300
n-27,"Germany, Munich, phase 1",https://www.mdpi.com/1660-4601/18/7/3572/htm
n-28,"Germany, Munich, phases 2 and 3, seroreversion by age (table S3)",https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06589-4
n-29,"Germany, Tirschenreuth district",https://www.mdpi.com/1999-4915/13/6/1118/htm
n-30,"France, national, phases 1 and 2",https://www.medrxiv.org/content/10.1101/2021.10.25.21265456v1
n-31,"France: Grand Est, Île-de-France, Nouvelle-Aquitaine; phase 1; seroprevalence",https://academic.oup.com/ije/advance-article/doi/10.1093/ije/dyab110/6323645
n-32,"France: Grand Est, Île-de-France, Nouvelle-Aquitaine; phase 1; IHR and IFR",https://www.sciencedirect.com/science/article/pii/S2666991920000329
n-33,"France, Grand Nancy",https://www.mdpi.com/1999-4915/13/6/1076/htm
n-34,"Netherlands, phase 1, published study",https://jech.bmj.com/content/early/2020/11/28/jech-2020-215678
n-35,"Netherlands, all phases, report",https://www.rivm.nl/pienter-corona-studie/resultaten
n-36,"Switzerland, Corona Immunitas webpage",https://www.corona-immunitas.ch/en/program/results/
n-37,"Switzerland, Fribourg, phase 1",https://www.unifr.ch/med/imf/fr/assets/public/images/COVID-19/2020-PopHealthLab-Corona-Immunitas-E1.pdf
n-38,"Switzerland, Geneva, phase 1, seroprevalence",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31304-0/fulltext
n-39,"Switzerland, Geneva, phase 3",https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(21)00054-2/fulltext
n-40,"Switzerland, Neuchâtel canton, phases 1 - 3",https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/coronaimmunitas/Pages/R%c3%a9sultats-de-l'%c3%a9tude.aspx
n-41,"Switzerland, Ticino, cantonal office, phase 1, report",https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=188153&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=bea1ca89d443e685b2a9079f42186b3d
n-42,"Switzerland, Vaud, phase 1, preliminary population-wide paper",https://journals.asm.org/doi/10.1128/JVI.01828-20?permanently=true&
n-43,"Andorra, national study",https://www.sciencedirect.com/science/article/pii/S266677622100096X
n-44,"Spain, national, phase 1, published study",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31483-5/fulltext
n-45,"Spain, national, phase 4, report",https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/15.12151220163348113.pdf
n-46,"Spain, Cantabria, published study",https://www.nature.com/articles/s41598-021-89236-x
n-47,"Spain, Galicia, summary release",https://www.xunta.gal/hemeroteca/-/nova/104214/estudio-seroprevalencia-frente-covid-19-estima-que-galicia-estaria-inmunizada?langId=es_ES
n-48,"Spain, Galicia, presentation",https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flavozdegalicia%2Fvideos%2Fla-xunta-presenta-el-estudio-de-seroprevalencia-frente-al-covid-19-en-galicia%2F257095192156070%2F
n-49,"Spain, Torrejón de Ardoz, report",https://www.ayto-torrejon.es/index.php/noticia/nota-de-prensa/el-estudio-de-seroprevalencia-de-torrejon-de-ardoz-revela-una-prevalencia-de
n-50,"Italy, South Tyrol (excluding Val Gardena), report",http://web.archive.org/web/20201001151354/https://astat.provinz.bz.it/de/aktuelles-publikationen-info.asp?news_action=4&news_article_id=642924
n-51,"Italy, national",https://www.istat.it/it/archivio/246156
n-52,"Italy, Castiglione D'Adda, subset",https://www.journalofinfection.com/article/S0163-4453(20)30629-0/fulltext
n-53,"Italy, Castiglione D'Adda, total population",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0246513
n-54,"Italy, Lodi province, pre-print",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3650227
n-55,"Italy, Trento (5 municipalities), phase 1",https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(20)30709-6/fulltext#secsectitle0045
n-56,"Italy: Val Gardena + associated regions, published study (Melotti et al.)",https://www.cambridge.org/core/journals/epidemiology-and-infection/article/prevalence-and-determinants-of-serum-antibodies-to-sarscov2-in-the-general-population-of-the-gardena-valley/43FAD8F3CD0983D4427D3A10D1AC8063
n-57,"USA, California: Orange County",https://www.nature.com/articles/s41598-021-82662-x
n-58,"Puerto Rico, study website",https://sites.google.com/view/casperpr/an%C3%A1lisis-y-resultados
n-59,"USA, Kentucky: Jefferson County, phase 4, press release, testing dates",https://www.uoflnews.com/post/uofltoday/covid-19-rates-continue-to-increase-with-highest-rates-among-18-34-year-olds/
n-60,"USA, New York State: New York City, 5 boroughs (returned samples only, not self-reported)",https://academic.oup.com/jid/article/224/2/188/6292145
n-61,"USA, Texas: Harris County",https://publichealth.harriscountytx.gov/Portals/27/Documents/HCPH%20Antibody%20Results%20NR.pdf?ver=ZkoB5qeX0P1G--8gfGH8fg%3d%3d
n-62,"USA, Indiana: phase 3",https://news.iu.edu/stories/2020/11/iupui/releases/25-phase-3-findings-statewide-covid-19-study-indiana.html
n-63,"France; Grand Est, Île-de-France, Nouvelle-Aquitaine; phase 2; long COVID-19 seroprevalence",https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2785832
n-64,"USA, Colorado: Denver",https://journals.sagepub.com/doi/10.1177/00333549211055137
n-65,"Switzerland, Fribourg, phase 2",https://www.unifr.ch/med/imf/de/assets/public/images/COVID-19/2021-PopHealthLab-Corona-Immunitas-E2.pdf
n-66,"USA, Louisiana: Ascension, East Baton Rouge, Livingston, + West Baton Rouge Parishes",https://wwwnc.cdc.gov/eid/article/27/1/20-3808_article
n-67,"Austria, national; study collection",http://www.statistik.at/web_de/statistiken/menschen_und_gesellschaft/gesundheit/covid19/covid19_praevalenz/index.html#reiter_dynamicFurtherInfo
n-68,"Germany, National (SOEP)",https://www.medrxiv.org/content/10.1101/2021.11.22.21266711v1
n-69,"USA, New York State: New York City (email from study authors)",https://drive.google.com/drive/folders/1k6iRp-ds23vy1YvV0LnH39RTTMBbl2iR
n-70,"Germany, National (SOEP); email from study authors",https://drive.google.com/drive/folders/1AXsUiTtVN07KFpb_P7lR6lfTY4uz5YC5
n-71,"USA, Louisiana: Baton Rouge + Jefferon County + Orleans studies",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0260164
n-72,"Denmark, ""We test Denmark"", pre-print",https://www.medrxiv.org/content/10.1101/2021.08.10.21261777v1.full-text
n-73,"Hungary, National",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7366154/
n-74,"Norway: national, pre-print",https://www.medrxiv.org/content/10.1101/2021.03.23.21253730v1.full
n-75,"England + Scotland + Wales + Northern Ireland, ONS (National), vaccine and serology [as of December 23, 2021]",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/datasets/coronaviruscovid19antibodydatafortheuk/2021
n-76,"Italy: Val Gardena + associated regions, short report",https://astat.provinz.bz.it/de/aktuelles-publikationen-info.asp?news_action=300&news_image_id=1074600
n-77,"England REACT-2, phase 5",https://www.medrxiv.org/content/10.1101/2021.02.26.21252512v1.full
n-78,"USA, Massachusetts: Holyoke",https://www.medrxiv.org/content/10.1101/2021.10.13.21264975v1
n-79,"Italy: South Tyrol (excluding Val Gardena), email from study authors",https://drive.google.com/drive/folders/1SKGVSqd9qYnZGMprz_kTpdqZf7OWdDUP
n-80,"USA, Texas: Dallas + Tarrant Counties, report",https://s3-us-west-2.amazonaws.com/utsw-patientcare-web-production/documents/DFWCPS_Update_01.12.21_EN_1_Pager.pdf
n-81,"USA, Texas: Dallas + Tarrant Counties, email from study authors",https://drive.google.com/drive/folders/1jJD3rj8Q6XPB_XHL-9HvaGbrfdwSp1IY
n-82,"USA, California: Northern California Bay Area",https://www.medrxiv.org/content/10.1101/2021.12.02.21266871v2.full-text
n-83,"India: Delhi, phases 2 - 4",https://academic.oup.com/trstmh/advance-article/doi/10.1093/trstmh/trab109/6335791
n-84,"India: Pune, five prabhags/subwards",https://www.medrxiv.org/content/10.1101/2020.11.17.20228155v2.full
n-85,"India: national, phase 2",https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(20)30544-1/fulltext
n-86,"India: Delhi, phase 5",https://www.cureus.com/articles/72911-second-wave-of-the-covid-19-pandemic-in-delhi-india-high-seroprevalence-not-a-deterrent
n-87,"India: Puducherry district, phases 1 - 3",https://wwwnc.cdc.gov/eid/article/27/2/20-4480_article
n-88,"India: Chennai, phase 1",https://wwwnc.cdc.gov/eid/article/27/2/20-3938_article
n-89,"India: Chennai, phase 2",https://academic.oup.com/trstmh/article/115/11/1350/6370308
n-90,China: Wuhan #2,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00238-5/fulltext
n-91,India: Kashmir (whole region),https://bmjopen.bmj.com/content/11/9/e053791
n-92,"India: Kashmir, Srinagar district",https://www.ijcmph.com/index.php/ijcmph/article/view/7827
n-93,"India: Odisha; Bhubaneswar (phase 2), Berhampur, Rourkela",https://www.nature.com/articles/s41598-021-89877-y
n-94,India: Odisha; Bhubaneswar (phases 1 - 3),https://www.cambridge.org/core/journals/epidemiology-and-infection/article/seroprevalence-of-sarscov2-in-bhubaneswar-india-findings-from-three-rounds-of-community-surveys/29A7905F297A1EFA68749AC3C6383300
n-95,"India: West Bengal, Paschim Medinipur",https://www.medrxiv.org/content/10.1101/2020.09.12.20193219v1.full
n-96,"India: national, phase 3",https://www.ijidonline.com/article/S1201-9712(21)00442-2/fulltext
n-97,"India: national, phase 4",https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003877
n-98,Ethiopia: 14 towns (including Addis Ababa #2),https://www.sciencedirect.com/science/article/pii/S1201971221006615
n-99,South Africa: Gauteng province,https://academic.oup.com/ije/advance-article/doi/10.1093/ije/dyab217/6414575?rss=1
n-100,"Chile: Coquimbo-La Serena, Greater Santiago, Talca ",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3933650
n-101,"India: Telangana, Hyderabad",https://www.sciencedirect.com/science/article/pii/S2772707621000229
n-102,"England REACT-2, phase 2 (Ward et al.)",https://www.thelancet.com/journals/lanepe/article/PIIS2666-7762(21)00075-2/fulltext
n-103,"England REACT-2, phase 6",https://www.medrxiv.org/content/10.1101/2021.07.14.21260497v1.full-text
n-104,"Spain, national, phases 1 - 3, report",https://portalcne.isciii.es/enecovid19/informes/informe_final.pdf
n-105,"Denmark, ""We test Denmark"", published study",https://journals.asm.org/doi/10.1128/Spectrum.01330-21
n-106,"Switzerland, Geneva, phase 4",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.43.2100830
n-107,Italy: Caldari Ortona (Villa Caldari),https://www.mdpi.com/2076-2607/8/11/1711/htm
n-108,Italy: Vo',https://www.nature.com/articles/s41467-021-24622-7#Sec26
n-109,"Austria: Ischgl, phase 1",https://www.nature.com/articles/s43856-021-00007-1
n-110,"Germany: Kupferzell, seroreversion by age (table 3)",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.47.2001752
n-111,"Ireland, published study",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.48.2001741
n-112,"Austria: Ischgl, phase 2",https://www.medrxiv.org/content/10.1101/2021.02.19.21252089v1.full-text
n-113,"Austria: Weißenkirchen/Wachau, phase 2",https://www.frontiersin.org/articles/10.3389/fmed.2021.653630/full
n-114,"Argentina, Buenos Aires city: Barrio Padre Mugica, phase 2 (Pagotto et al.)",https://www.medrxiv.org/content/10.1101/2021.03.05.21253010v1.full
n-115,"Argentina, Buenos Aires city: Barrio Padre Mugica, phase 1",https://www.medicinabuenosaires.com/revistas/vol81-21/destacado/original_7453.pdf
n-116,"Great Britain, UK BioBank, phase 3",https://www.ukbiobank.ac.uk/media/zusjljce/ukb_serologystudy_report_month2_final-1.pdf
n-117,"Great Britain, UK BioBank, phases 1 + 4 + 5",https://www.ukbiobank.ac.uk/media/x0nd5sul/ukb_serologystudy_report_revised_6months_jan21.pdf
n-118,"Italy, Trento (5 municipalities), seroreversion",https://www.medrxiv.org/content/10.1101/2020.11.11.20229062v2.full
n-119,"Jersey, phase 2",https://www.gov.je/SiteCollectionDocuments/Government%20and%20administration/R%20Prevalence%20of%20antibodies%2020200609%20SJ.pdf
n-120,"Russia: St. Petersburg, phase 2, press release",https://eusp.org/news/k-seredine-avgusta-koronavirusom-perebolelo-menee-13-zhiteley-sankt-peterburga
n-121,"Russia: St. Petersburg, phase 3, press release",https://eusp.org/en/news/over-1-million-st-petersburg-residents-have-had-covid-19-since-the-onset-of-the-pandemic
n-122,"Russia: St. Petersburg, phases 1 - 3, pre-print",https://www.medrxiv.org/content/10.1101/2021.07.31.21261428v2.full
n-123,"Germany, National (Corona-BUND / Forsa), phases 1 + 2",https://www.ifo.de/DocDL/studie-2020-corona-bund-endbericht.pdf
n-124,"Spain, national, phase 4, seroreversion pre-print",https://www.medrxiv.org/content/10.1101/2021.03.11.21253142v1.full-text
n-125,assay for ONS and BioBank,https://web.archive.org/web/20210205022554/https://www.tdi.ox.ac.uk/about/latest-news/oxford-ramps-up-covid-19-testing-capability
n-126,"Great Britain, UK BioBank, phase 6 + 7, results",https://www.ukbiobank.ac.uk/learn-more-about-uk-biobank/covid-19-hub
n-127,"Great Britain, UK BioBank, phase 6",https://www.ukbiobank.ac.uk/explore-your-participation/contribute-further/coronavirus-self-test-antibody-study-phase-1
n-128,"Great Britain, UK BioBank, phase 7",https://www.ukbiobank.ac.uk/explore-your-participation/contribute-further/coronavirus-self-test-antibody-study-phase-2
n-129,"Switzerland, Ticino, by cantonal office, phases 1 - 4, published paper",https://smw.ch/article/doi/smw.2021.w30116
n-130,"USA, Louisiana: email from Dr. Amy Feehan; Baton Rouge + Jefferson + Orleans studies",https://drive.google.com/drive/folders/13cKVR2Juzm11h_t2HCF_3pX6YtKMh5kH
n-131,"Jersey, phase 1",https://www.gov.je/SiteCollectionDocuments/Government%20and%20administration/R%20Prevalence%20of%20antibodies%202020508%20SJ.pdf
n-132,"Peluso et al., seroreversion for assays",https://www.science.org/doi/10.1126/sciadv.abh3409
n-133,"Kahre et al., seroreversion for assays",https://www.nature.com/articles/s41598-021-94453-5
n-134,"Muecksch et al., seroreversion for assays",https://academic.oup.com/jid/article/223/3/389/5952470
n-135,"Switzerland, Geneva, phase 2",https://journals.sagepub.com/doi/10.1177/14034948211048050
n-136,"Switzerland, Geneva, antibody persistence",https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(21)00371-2/fulltext
n-137,"Ireland, antibody persistence",https://academic.oup.com/jid/article/224/6/1100/6311910
n-138,"Netherlands, antibody persistence",https://academic.oup.com/cid/article/73/12/2155/6149064#supplementary-data
n-139,"USA, Kentucky: Jefferson County, phase 1, press release, testing dates",https://louisville.edu/medicine/news/phase-ii-results-of-co-immunity-project-show-higher-than-expected-rates-of-exposure-to-novel-coronavirus-in-jefferson-county
n-140,"USA, Kentucky: Jefferson County, phase 2, press release, testing dates",https://www.uoflnews.com/releases/second-round-of-co-immunity-project-tests-shows-increasing-rates-of-covid-19-infections-in-jefferson-county/
n-141,"USA, Kentucky: Jefferson County, phase 3, press release, testing dates",https://www.uoflnews.com/post/uofltoday/co-immunity-project-shows-covid-19-infection-rate-in-jefferson-county-increased-tenfold-since-september/
n-142,"Netherlands, phase 2, published study",https://academic.oup.com/cid/article/73/12/2318/6189768
n-143,"USA (COVIDVu): email from study authors, phase 1; Georgia (including DeKalb + Fulton counties) + California + national",https://drive.google.com/drive/folders/130mo8T1JBWwPDV75rhmk_jrEcXCiXSs3
n-144,"USA, Texas: Houston, email from study authors",https://drive.google.com/drive/folders/1EpAN13a9YDM_JRLV3RFMMUMKohqUHD3g
n-145,"Germany, Munich, reports",http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/de/COVID-19/KoCo19/index.html
n-146,"Puerto Rico, phase 1, report",https://drive.google.com/file/d/1vMqtRtNIlFVhmqlL7Ti8_wrVhhLcy-oq/view
n-147,"Puerto Rico, phase 2, report",https://drive.google.com/file/d/1iFTgFlUMvKzWWsUCfLBSsGFmVhQn6spX/view
n-148,"Netherlands, email from study authors",https://drive.google.com/drive/folders/1YJ2uFuuF-hQ99amG4HlsnWsbLUTZzirH
n-149,"France, national, phase 1, published study",https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06973-0
n-150,"Lebanon, national, published study",https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-022-07031-z
n-151,"Maldives, greater Malé area, published study",https://apjai-journal.org/wp-content/uploads/2022/01/AP-040721-1177.pdf
n-152,"Indonesia, Tanjung Priok sub-district (in Jakarta), published study",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0261931
n-153,"India: Delhi, phase 6",https://www.medrxiv.org/content/10.1101/2021.12.28.21268451v1.full
n-154,"Italy, Lodi province, email from study authors",https://drive.google.com/drive/folders/1CR_Dza9nNu2HJlaCrw21-WjtKjQgZGQP
n-155,"Portugal, Castro et al., phase 1, non-representative sampling",https://wwwnc.cdc.gov/eid/article/27/11/21-0636_article
n-156,"Portugal, Castro et al., phase 2, non-representative sampling",https://onlinelibrary.wiley.com/doi/full/10.1002/eji.202149619
n-157,"Iceland, national, non-representative sampling (outside of greater Reykjavik area)",https://www.nejm.org/doi/full/10.1056/NEJMoa2026116
n-158,"Portugal, ISNCOVID-19, phase 1, non-representative sampling",https://www.actamedicaportuguesa.com/revista/index.php/amp/article/viewFile/15122/6245
n-159,"Portugal, ISNCOVID-19, phase 2, non-representative sampling",https://www.tandfonline.com/doi/abs/10.1080/23744235.2021.2025421?journalCode=infd20
n-160,"France; Grand Est, Île-de-France, Nouvelle-Aquitaine; phase 2",https://link.springer.com/article/10.1007/s15010-021-01731-5
n-161,"Carreño et al., seroreversion",https://www.sciencedirect.com/science/article/pii/S2589004221009056
n-162,"Thiruvengadam et al., seroreversion",https://www.ajtmh.org/view/journals/tpmd/105/1/article-p66.xml
n-163,"Sim et al., seroreversion",https://journals.sagepub.com/doi/10.1177/00045632211030957
n-164,"Gallais et al., seroreversion",https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(21)00354-6/fulltext
n-165,"Choe et al., seroreversion",https://wwwnc.cdc.gov/eid/article/27/3/20-4543_article
n-166,"Rodeles et al., seroreversion",https://iris.paho.org/handle/10665.2/54288
n-167,"Goto et al., seroreversion",https://www.frontiersin.org/articles/10.3389/fmicb.2021.661187/full
n-168,"Domènech-Montoliu et al., seroreversion",https://www.mdpi.com/2673-8112/1/1/6/htm
n-169,"Isho et al., seroreversion",https://www.science.org/doi/10.1126/sciimmunol.abe5511
n-170,"Alvim et al., seroreversion",https://www.medrxiv.org/content/10.1101/2020.07.13.20152884v6.full-text
n-171,"Silveira et al., seroreversion",https://www.scielo.br/j/bjid/a/9X43shvTQCxvmMhkNFwFRrq/?lang=en
n-172,"Lithuania, 6 cities and municipalities, email from study authors",https://drive.google.com/drive/folders/1QD0d-3ebWE36AE5XkJykrNksC9DHkP1n
n-173,"Germany, 7 counties study, published study (Gornyk et al.)",https://www.aerzteblatt.de/int/archive/article/221933
n-174,"Los Angeles County, phase 2",https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2788249
n-175,"Salt Lake County, phase 4",from 10:14 to 16:02 : https://eccles.utah.edu/utah-hero/
n-176,"Salt Lake County, phase 4, Abbott vs. Euroimmun",http://web.archive.org/web/20220126164639/https://pbs.twimg.com/media/FKCumV4WUAUrvG6?format=jpg&name=medium
n-177,"Salt Lake County, phase 4, age-specific seroprevalence",http://web.archive.org/web/20220126164810/https://pbs.twimg.com/media/FKCu7yTWYAMOcqq?format=jpg&name=medium
n-178,"Florida: Hillsborough County, published study",https://wwwnc.cdc.gov/eid/article/28/3/21-1495_article
n-179,"USA, Indiana, phase 2, seroprevalence",https://news.iu.edu/stories/2020/06/iupui/releases/17-fairbanks-isdh-second-phase-covid-19-testing-indiana-research.html
n-180,"USA, Indiana, phase 2, sample size",https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-11867-6
n-181,"Finland, seroprevalence",https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly_en.html
n-182,"Finland, microneutralization seroreversion, 6 months",https://thl.fi/en/web/thlfi-en/-/thl-s-study-majority-of-people-who-have-had-a-coronavirus-infection-retain-antibodies-for-over-six-months
n-183,"Finland, microneutralization seroreversion, 4 months",https://thl.fi/en/web/thlfi-en/-/study-by-thl-and-welfare-and-the-city-of-helsinki-antibodies-elicited-by-coronavirus-infection-persist-for-at-least-four-months
n-184,"Haveri et al., Finland, microneutralization + FMIA seroreversion, 4 months, seroreversion by age",https://onlinelibrary.wiley.com/doi/10.1002/eji.202149535
n-185,"Florida: Hillsborough County, email from study authors",https://drive.google.com/drive/folders/1nRQ5-AiBY4tV-0AtJ8q5-0sZ-5EyP_4l
n-186,"Gangelt multi-phases, seroreversion",https://www.medrxiv.org/content/10.1101/2022.01.26.22269805v1.full-text
n-187,"Japan: Tokyo + Osaka + Miyagi, phase 1 seroprevalence",https://wwwnc.cdc.gov/eid/article/27/2/20-4088_article
n-188,"Japan: phase 1 of Aichi + Fukuoka, phase 2 of Tokyo + Miyagi + Osaka, report",https://www.mhlw.go.jp/content/000761671.pdf
n-189,"Japan: Tokyo, phase 2, sampling date",http://web.archive.org/web/20210107150955/https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/koutaikensa.html
n-190,"Japan: Osaka, phase 2, sampling date",https://www.pref.osaka.lg.jp/hodo/index.php?site=fumin&pageId=39934
n-191,"Japan: Miyagi, phase 2, sampling date",http://web.archive.org/web/20210212021020/https://www.pref.miyagi.jp/uploaded/attachment/823102.pdf
n-192,"Salt Lake County, report, phases 1 - 4",https://d30i16bbj53pdg.cloudfront.net/utah-hero/wp-content/uploads/2021/04/HERO-community-testing-report-Salt-Lake-County.pdf
n-193,"Denmark SSI, study website",https://covid19.ssi.dk/overvagningsdata/undersoegelser/praevalensundersogelsen
n-194,"Denmark SSI, report, phase 5",https://files.ssi.dk/praevalensundersoegelse_runde4
n-195,"Denmark SSI, report, phase 6",https://covid19.ssi.dk/-/media/cdn/files/praevalensundersoegelse_runde5.pdf?la=da
n-196,"Tunisia: El Omrane and La Goulette (in Tunis), pre-print",https://www.researchsquare.com/article/rs-1317280/v2
n-197,"South Africa: Jouberton and Agincourt, published study, phases 1 - 5",https://wwwnc.cdc.gov/eid/article/27/12/21-1465_article
n-198,"McGregor et al., seroreversion",https://www.medrxiv.org/content/10.1101/2021.10.26.21265501v1.full-text
n-199,"Ng + Goldgof et al., baseline seroconversion for Abbott",https://www.nature.com/articles/s41467-020-18468-8
n-200,"Sun et al., South Africa: Jouberton and Agincourt, pre-print, phase 6",https://www.medrxiv.org/content/10.1101/2022.02.11.22270854v1.full
n-201,"Laing et al., seroreversion by age (eFigure 5)",https://www.medrxiv.org/content/10.1101/2021.04.27.21256207v1.full-text
n-202,"Gaskell et al., seroreversion by age",https://www.medrxiv.org/content/10.1101/2021.02.01.21250839v1.full
n-203,"Canada, Ab-C study, published study, phases 1 and 2",https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2789086
n-204,"USA, Washington: King County, email from study authors",https://drive.google.com/drive/folders/1btstBcczI4zcr9pe1prgfFdYmetUy1Cb
n-205,"USA, California: Placer County, report",https://www.placer.ca.gov/DocumentCenter/View/49523/2021-011221-PowerPoint-Item-02A
n-206,"USA, California: Placer County, email from study authors",https://drive.google.com/drive/folders/1CC6cPfOWLSXH6uqkd2_q-HZSry1cctRt
n-207,"Placer county, antibody persistence (tables S1 - S3)",https://www.science.org/doi/10.1126/sciimmunol.abe0240
n-208,"Austria, national; short report",http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_PDF_FILE&RevisionSelectionMethod=LatestReleased&dDocName=124957
n-209,"Austria, national; long report",http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_PDF_FILE&RevisionSelectionMethod=LatestReleased&dDocName=125521
n-210,"Austria, national; age-specific seroprevalence",http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_PDF_FILE&RevisionSelectionMethod=LatestReleased&dDocName=125149
