"phase_id","region","country","location","sampleType","startDate","endDate","midpointDate","testTime","testName","citationID","nSeropositives","nSamples","sensitivityMean","sensitivityL","sensitivityH","includedTable","notes","timeKnown","antigenTarget","antibodyTarget","technique","design"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",2,"Abbott Architect IgG","n-240",36,39,92.31,79.13,98.38,"Yes","table 1",TRUE,"N","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",3,"Abbott Architect IgG","n-132",127,163,77.7,70.7,83.7,"Not yet","supplementary table 8",TRUE,"N","IgG","CMIA","indirect"
"--","North America","USA","{ ? }","non-hospitalized patients","--","--","--",3,"Abbott Architect IgG","n-134",29,41,70.73,54.46,83.87,"Yes","figure 1",TRUE,"N","IgG","CMIA","indirect"
"3","South Asia","India","National","representative","--","--","12/27/2020",3,"Abbott Architect IgG","n-96",51,96,53.12,42.66,63.39,"Yes","supplementary table (page 8 of appendix)",TRUE,"N","IgG","CMIA","indirect"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",4.5,"Abbott Architect IgG","n-240",11,11,100,71.51,100,"Yes","table 1",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Germany","Dresden","hospitalized + non-hospitalized patients","*August 2020","*October 2020","*September 2020",5,"Abbott Architect IgG","n-133",64,109,58.72,48.88,68.06,"Yes","table 2",TRUE,"N","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",5,"Abbott Architect IgG","n-132",81,144,56.2,48.2,64.7,"Not yet","supplementary table 8",TRUE,"N","IgG","CMIA","indirect"
"3","South Asia","India","National","representative","--","--","12/27/2020",5,"Abbott Architect IgG","n-96",26,74,35.14,24.39,47.11,"Yes","supplementary table (page 8 of appendix)",TRUE,"N","IgG","CMIA","indirect"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",6,"Abbott Architect IgG","n-240",30,44,68.18,52.42,81.39,"Yes","table 1",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Germany","{ Saarland }","non-hospitalized patients","--","*October 2020","*October 2020",6,"Abbott Architect IgG","n-289",15,30,50,31.3,68.7,"Yes","figure 2g",TRUE,"N","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",7,"Abbott Architect IgG","n-132",35,107,32.8,24.2,42.3,"Not yet","supplementary table 8",TRUE,"N","IgG","CMIA","indirect"
"3","South Asia","India","National","representative","--","--","12/27/2020",7,"Abbott Architect IgG","n-96",6,23,26.09,10.23,48.41,"N","supplementary table (page 8 of appendix)",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Germany","Dresden","hospitalized + non-hospitalized patients","*January 2021","*March 2021","*February 2021",10,"Abbott Architect IgG","n-133",26,109,23.85,16.21,32.97,"Yes","table 2",TRUE,"N","IgG","CMIA","indirect"
"--","Oceania","New Zealand","{ Southern District Health Board region }","hospitalized + non-hospitalized patients","3/11/2020","4/5/2020","--",10,"Abbott Architect IgG","n-198",10,37,27.03,13.79,44.12,"Yes","",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"Abbott Architect IgG","n-290",33,39,84.62,69.47,94.14,"","table 1",TRUE,"N","IgG","CMIA","indirect"
"1,2","South Asia","India","Tamil Nadu: Chennai","representative","7/17/2020","10/15/2020","8/31/2020",1.5,"Abbott Architect IgG","n-89",22,24,91.67,73,98.97,"","appendix table 8 (not yet included in seroreversion paper)",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"Abbott Architect IgG","n-290",186,194,95.88,92.04,98.2,"","table 1",TRUE,"N","IgG","CMIA","indirect"
"1,2","South Asia","India","Tamil Nadu: Chennai","representative","7/17/2020","10/15/2020","8/31/2020",2.5,"Abbott Architect IgG","n-89",26,29,89.66,72.65,97.81,"","appendix table 8 (not yet included in seroreversion paper)",TRUE,"N","IgG","CMIA","indirect"
"1,2","South Asia","India","Tamil Nadu: Chennai","representative","7/17/2020","10/15/2020","8/31/2020",3.5,"Abbott Architect IgG","n-89",16,22,72.73,49.78,89.27,"","appendix table 8 (not yet included in seroreversion paper)",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"Abbott Architect IgG","n-290",106,123,86.18,78.8,91.74,"","table 1",TRUE,"N","IgG","CMIA","indirect"
"1,2","South Asia","India","Tamil Nadu: Chennai","representative","7/17/2020","10/15/2020","8/31/2020",4.5,"Abbott Architect IgG","n-89",10,14,71.43,41.9,91.61,"","appendix table 8 (not yet included in seroreversion paper)",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Abbott Architect IgG","n-290",101,162,62.35,54.4,69.83,"","table 1",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"Abbott Architect IgG","n-290",41,95,43.16,33.03,53.72,"","table 1",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"Abbott Architect IgG","n-290",22,89,24.72,16.19,35,"","table 1",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"Abbott Architect IgG","n-290",18,91,19.78,12.16,29.45,"","table 1",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"Abbott Architect IgG","n-290",5,35,14.29,4.806,30.26,"","table 1",TRUE,"N","IgG","CMIA","indirect"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",2,"Abingdon AbC-19 IgG anti-spike","n-213",122,152,80.26,73.04,86.27,"Yes","table 3",TRUE,"S","IgG","LFIA","sandwich"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",4,"Abingdon AbC-19 IgG anti-spike","n-213",35,43,81.4,66.6,91.61,"Yes","table 3",TRUE,"S","IgG","LFIA","sandwich"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",6,"Abingdon AbC-19 IgG anti-spike","n-213",50,73,68.49,56.56,78.87,"Yes","table 3",TRUE,"S","IgG","LFIA","sandwich"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",1,"Biomerica anti-nucleocapsid IgG IgM rapid test","n-213",53,57,92.98,83,98.05,"Yes","table 2",TRUE,"N","IgG IgM","LFIA","indirect"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",2,"Biomerica anti-nucleocapsid IgG IgM rapid test","n-213",143,157,91.08,85.49,95.04,"Yes","table 3",TRUE,"N","IgG IgM","LFIA","indirect"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",4,"Biomerica anti-nucleocapsid IgG IgM rapid test","n-213",39,44,88.64,75.44,96.21,"Yes","table 3",TRUE,"N","IgG IgM","LFIA","indirect"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",6,"Biomerica anti-nucleocapsid IgG IgM rapid test","n-213",43,79,54.43,42.83,65.69,"Yes","table 3",TRUE,"N","IgG IgM","LFIA","indirect"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",1,"Biozek COVID-19 IgG/IgM rapid test","n-213",65,68,95.59,87.64,99.08,"Yes","table 2",TRUE,"N, RBD","IgG IgM","LFIA","indirect"
"--","Europe","Scotland","{ ? }","hospitalized + non-hospitalized patients","*September 2020","*November 2020","--",2,"Biozek COVID-19 IgG/IgM rapid test","n-213",47,49,95.92,86.02,99.5,"Yes","table 2",TRUE,"N, RBD","IgG IgM","LFIA","indirect"
"--","Latin America","Argentina","{ ? }","hospitalized + non-hospitalized patients","--","*September 2020","--",1,"COVIDAR anti-spike anti-RBD","n-224",335,453,73.95,69.65,77.94,"Yes","table 1",TRUE,"RBD, S","IgG IgM","ELISA","indirect"
"--","Latin America","Argentina","{ ? }","hospitalized + non-hospitalized patients","--","--","--",1,"COVIDAR anti-spike anti-RBD","n-227",252,289,87.2,82.79,90.82,"Yes","figure 1A",TRUE,"RBD, S","IgG IgM","ELISA","indirect"
"--","Latin America","Argentina","{ ? }","hospitalized + non-hospitalized patients","--","*September 2020","--",3,"COVIDAR anti-spike anti-RBD","n-224",113,137,82.48,75.06,88.44,"Yes","table 1",TRUE,"RBD, S","IgG IgM","ELISA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","*April 2020","*July 2020","--",1,"Diasorin Liaison S1/S2 spike IgG","n-132",121,140,86.5,80,91.5,"Not yet","supplementary table 8",TRUE,"S","IgG","CMIA","indirect"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",1,"Diasorin Liaison S1/S2 spike IgG","n-240",37,42,88.1,74.37,96.02,"Yes","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","Oceania","Australia","{ Sydney }","hospitalized + non-hospitalized patients","*March 2020","*August 2020","--",2,"Diasorin Liaison S1/S2 spike IgG","n-215",134,166,80.72,73.89,86.43,"Yes","table 2",TRUE,"S","IgG","CMIA","indirect"
"1","Europe","Italy","Vo'","representative","5/1/2020","5/3/2020","5/2/2020",2,"Diasorin Liaison S1/S2 spike IgG","n-108",53,62,85.48,74.22,93.14,"Yes","supplementary table 2",TRUE,"S","IgG","CMIA","indirect"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",2,"Diasorin Liaison S1/S2 spike IgG","n-240",36,39,92.31,79.13,98.38,"Yes","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","North America","USA","{ ? }","non-hospitalized patients","--","--","--",3,"Diasorin Liaison S1/S2 spike IgG","n-134",38,41,92.68,80.08,98.46,"Yes","",TRUE,"S","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",3,"Diasorin Liaison S1/S2 spike IgG","n-132",135,166,81.6,75,87,"Not yet","supplementary table 8",TRUE,"S","IgG","CMIA","indirect"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",4.5,"Diasorin Liaison S1/S2 spike IgG","n-240",11,11,100,71.51,100,"Yes","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Germany","Dresden","hospitalized + non-hospitalized patients","*August 2020","*October 2020","*September 2020",5,"Diasorin Liaison S1/S2 spike IgG","n-133",88,109,80.73,72.07,87.66,"Yes","table 2",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","*August 2020","*September 2020","--",5,"Diasorin Liaison S1/S2 spike IgG","n-222",295,363,81.27,76.87,85.15,"Yes","supplementary table S2",TRUE,"S","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",5,"Diasorin Liaison S1/S2 spike IgG","n-132",94,125,75.7,67.5,82.8,"Not yet","supplementary table 8",TRUE,"S","IgG","CMIA","indirect"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",6,"Diasorin Liaison S1/S2 spike IgG","n-240",39,44,88.64,75.44,96.21,"Yes","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",7,"Diasorin Liaison S1/S2 spike IgG","n-132",49,71,68.7,57.2,79.1,"Not yet","supplementary table 8",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Germany","Dresden","hospitalized + non-hospitalized patients","*January 2021","*March 2021","*February 2021",10,"Diasorin Liaison S1/S2 spike IgG","n-133",91,109,83.49,75.16,89.91,"Yes","table 2",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"Diasorin Liaison S1/S2 spike IgG","n-290",31,39,79.49,63.54,90.7,"","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"Diasorin Liaison S1/S2 spike IgG","n-290",172,194,88.66,83.34,92.76,"","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"Diasorin Liaison S1/S2 spike IgG","n-290",112,123,91.06,84.56,95.45,"","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Diasorin Liaison S1/S2 spike IgG","n-290",137,162,84.57,78.07,89.76,"","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"Diasorin Liaison S1/S2 spike IgG","n-290",84,95,88.42,80.23,94.08,"","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"Diasorin Liaison S1/S2 spike IgG","n-290",78,89,87.64,78.96,93.67,"","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"Diasorin Liaison S1/S2 spike IgG","n-290",72,91,79.12,69.33,86.94,"","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"Diasorin Liaison S1/S2 spike IgG","n-290",30,35,85.71,69.74,95.19,"","table 1",TRUE,"S","IgG","CMIA","indirect"
"--","East Asia","South Korea","{ ? }","non-hospitalized patients","--","--","--",8,"EDI Novel coronavirus COVID19 IgG anti-nucleocapsid","n-165",15,58,25.86,15.26,39.04,"Yes","",TRUE,"N","IgG","ELISA","indirect"
"1","South Asia","India","Odisha: Bhubaneswar (phase 2), Berhampur, Rourkela","representative","8/6/2020","8/31/2020","8/18/2020",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-93",23,29,79.31,60.28,92.01,"Yes","table 2",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"2","South Asia","India","Odisha: Bhubaneswar","representative","--","--","8/26/2020",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-94",2,3,66.67,9.43,99.16,"Yes","table 3",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"3","South Asia","India","Odisha: Bhubaneswar","representative","--","--","9/18/2020",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-94",124,132,93.94,88.41,97.35,"Yes","table 3",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Ireland","{ Dublin }","hospitalized + non-hospitalized patients","3/26/2020","7/10/2020","5/18/2020",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-225",153,185,82.7,76.47,87.86,"Yes","table 3",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","*April 2020","*July 2020","--",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-132",147,164,89.6,84.2,93.7,"Not yet","supplementary table 8",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-240",39,42,92.86,80.52,98.5,"Yes","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"1","Europe","Italy","Vo'","representative","5/1/2020","5/3/2020","5/2/2020",2,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-108",62,62,100,94.22,100,"Yes","supplementary table 2",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",2,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-240",39,39,100,90.97,100,"Yes","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"1","Europe","Iceland","National","convenience (general population)","4/3/2020","7/8/2020","5/21/2020",3,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-157",1120,1215,92.18,90.53,93.63,"Yes","tables S1 and S4, page 8 of appendix 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","North America","USA","{ ? }","non-hospitalized patients","--","--","--",3,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-134",40,41,97.56,87.14,99.94,"Yes","",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",3,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-132",150,166,90.2,85,94.2,"Not yet","supplementary table 8",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",4.5,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-240",11,11,100,71.51,100,"Yes","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","*August 2020","*September 2020","--",5,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-222",338,363,93.11,90,95.49,"Yes","supplementary table S2",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",5,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-132",144,158,90.7,85.4,94.6,"Not yet","supplementary table 8",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",6,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-240",43,44,97.73,87.98,99.94,"Yes","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","East Asia","Japan","{ ? }","convenience (general population)","9/2/2020","10/26/2020","9/29/2020",6,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-167",367,376,97.61,95.5,98.9,"Yes","",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","{ Saarland }","non-hospitalized patients","--","*October 2020","*October 2020",6,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-289",30,30,100,88.43,100,"Yes","figure 2g",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",7,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-132",133,146,91.1,85.7,95.1,"Not yet","supplementary table 8",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","East Asia","South Korea","{ ? }","non-hospitalized patients","--","--","--",8,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-165",53,58,91.38,81.02,97.14,"Yes","",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Sweden","{ Stockholm }","hospitalized + non-hospitalized patients","--","late 2020","--",9,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-223",31,32,96.88,83.78,99.92,"Yes","tables 2 and 3",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",32,39,82.05,66.47,92.46,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",193,194,99.48,97.16,99.99,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",123,123,100,97.05,100,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",160,162,98.77,95.61,99.85,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",93,95,97.89,92.6,99.74,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",86,89,96.63,90.46,99.3,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",84,91,92.31,84.79,96.85,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",34,35,97.14,85.08,99.93,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"Elecsys Anti-SARS-CoV-2 Roche spike","n-290",35,39,89.74,75.78,97.13,"","table 1",TRUE,"RBD","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"Elecsys Anti-SARS-CoV-2 Roche spike","n-290",192,194,98.97,96.33,99.87,"","table 1",TRUE,"RBD","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"Elecsys Anti-SARS-CoV-2 Roche spike","n-290",123,123,100,97.05,100,"","table 1",TRUE,"RBD","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Elecsys Anti-SARS-CoV-2 Roche spike","n-290",162,162,100,97.75,100,"","table 1",TRUE,"RBD","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"Elecsys Anti-SARS-CoV-2 Roche spike","n-290",95,95,100,96.19,100,"","table 1",TRUE,"RBD","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"Elecsys Anti-SARS-CoV-2 Roche spike","n-290",88,89,98.88,93.9,99.97,"","table 1",TRUE,"RBD","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"Elecsys Anti-SARS-CoV-2 Roche spike","n-290",91,91,100,96.03,100,"","table 1",TRUE,"RBD","IgG IgM IgA","CMIA","sandwich"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"Elecsys Anti-SARS-CoV-2 Roche spike","n-290",35,35,100,90,100,"","table 1",TRUE,"RBD","IgG IgM IgA","CMIA","sandwich"
"1","South Asia","India","West Bengal: Paschim Medinipur","representative","7/27/2020","8/7/2020","8/1/2020",2,"ERBALISA COVID-19 IgG","n-95",11,30,36.67,19.93,56.14,"Yes","",TRUE,"N, S","IgG","ELISA","indirect"
"--","Europe","Netherlands","{ ? }","convenience (general population)","4/14/2020","--","--",2,"Euroimmun anti-nucleocapsid IgG IgM","n-226",77,85,90.59,82.29,95.85,"Yes","",TRUE,"N","IgG IgM","ELISA","indirect"
"--","Europe","Netherlands","{ ? }","convenience (general population)","--","8/15/2020","--",4,"Euroimmun anti-nucleocapsid IgG IgM","n-226",71,85,83.53,73.91,90.69,"Yes","",TRUE,"N","IgG IgM","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"Euroimmun anti-nucleocapsid IgG IgM","n-290",31,39,79.49,63.54,90.7,"","table 1",TRUE,"N","IgG IgM","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"Euroimmun anti-nucleocapsid IgG IgM","n-290",180,194,92.78,88.19,96,"","table 1",TRUE,"N","IgG IgM","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"Euroimmun anti-nucleocapsid IgG IgM","n-290",105,123,85.37,77.86,91.09,"","table 1",TRUE,"N","IgG IgM","ELISA","indirect"
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Euroimmun anti-nucleocapsid IgG IgM","n-290",108,162,66.67,58.84,73.87,"","table 1",TRUE,"N","IgG IgM","ELISA","indirect"
