"phase_id","region","country","location","sampleType","startDate","endDate","midpointDate","testName","citationID","nSeropositives","nSamples","sensitivityMean","sensitivityL","sensitivityH","notes","testTime"
"1","Europe","Russia","Tyumen region","convenience (general population)","6/8/2020","6/21/2020",2020-06-14,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-278",NA,NA,64,NA,NA,"page 396",1
"1","Europe","Russia","Khabarovsk Krai region","convenience (general population)","6/9/2020","6/21/2020",2020-06-15,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-268",33,56,58.9,NA,NA,"page 13",1
"1","Europe","Russia","St. Petersburg (from Rospotrebnadzor)","convenience (general population)","6/15/2020","6/20/2020",2020-06-17,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-274",44,63,69.8,NA,NA,"page 127",1
"1","Europe","Russia","Leningrad region, excluding St. Petersburg","convenience (general population)","6/23/2020","6/26/2020",2020-06-24,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-270",53,64,82.8,NA,NA,"page 119",1
"1","Europe","Russia","Sverdlovsk region","convenience (general population)","6/15/2020","7/5/2020",2020-06-25,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-265",NA,NA,65.2,55.3,75.1,"page 14",1
"1","Europe","Russia","Tatarstan","convenience (general population)","6/26/2020","7/5/2020",2020-06-30,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-277",10,12,83.3,NA,NA,"page 522",1
"1","Europe","Russia","Moscow","convenience (general population)","6/22/2020","7/11/2020",2020-07-01,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-272",53,64,82.8,NA,NA,"page 22",1
"1","Europe","Russia","Chelyabinsk region","convenience (general population)","6/29/2020","7/5/2020",2020-07-02,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-265",NA,NA,66.7,39.5,93.9,"page 14",1
"1","Europe","Russia","Irkutsk region","convenience (general population)","6/28/2020","7/19/2020",2020-07-08,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-266",NA,NA,56.5,48.8,64.2,"page 110",1
"1","Europe","Russia","Saratov region","convenience (general population)","6/23/2020","7/26/2020",2020-07-09,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-275",7,20,35,NA,NA,"page 112",1
"1","Europe","Russia","Kaliningrad region","convenience (general population)","8/3/2020","8/7/2020",2020-08-05,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-267",NA,NA,94.6,90.9,98.3,"page 67",2
"1","Europe","Russia","Murmansk region","convenience (general population)","8/3/2020","8/11/2020",2020-08-07,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-271",NA,NA,64.1,60.1,68.1,"page 22",1
"1","Europe","Russia","Krasnoyarsk region","convenience (general population)","6/22/2020","12/30/2020",2020-09-25,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-269",16,26,61.5,NA,NA,"page 232",3
"1","Europe","Russia","Novosibirsk region","convenience (general population)","6/28/2020","12/30/2020",2020-09-28,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-273",4,15,26.7,NA,NA,"page 304",3
"1","Europe","Russia","Stavropol Krai","convenience (general population)","7/6/2020","12/30/2020",2020-10-02,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)","n-276",NA,NA,78.6,39.2,100,"page 86",2
"1","Europe","Spain","National","representative","4/27/2020","5/11/2020",2020-05-04,"Orient Gene Biotech COVID-19 IgG/IgM Rapid Test anti-spike","n-44",189,213,88.7,NA,NA,"table 2",1
"2","Europe","Spain","National","representative","5/18/2020","6/1/2020",2020-05-25,"Orient Gene Biotech COVID-19 IgG/IgM Rapid Test anti-spike","n-104",276,360,76.7,NA,NA,"tabla 6 (page 19)",2
"3","Europe","Spain","National","representative","6/8/2020","6/22/2020",2020-06-15,"Orient Gene Biotech COVID-19 IgG/IgM Rapid Test anti-spike","n-104",341,460,74.1,NA,NA,"tabla 6 (page 19)",2
"4","Europe","Spain","National","representative","11/16/2020","11/29/2020",2020-11-22,"Orient Gene Biotech COVID-19 IgG/IgM Rapid Test anti-spike","n-45",1137,1777,64,NA,NA,"tabla 8 (page 20)",2
"1","Europe","Portugal","National (Castro et al.)","convenience (general population)","9/8/2020","10/14/2020",2020-09-26,"Siemens SARS-CoV-2 Total Advia Centaur","n-155",112,136,82.4,NA,NA,"appendix 11",3
"3","South Asia","India","National","representative","12/18/2020","1/6/2021",2020-12-27,"Siemens Advia SARS-CoV-2 IgG anti-RBD, OR Abbott Architect IgG","n-96",178,287,62,NA,NA,"table 3",3
"4","South Asia","India","National (unvaccinated population)","representative","6/14/2021","7/6/2021",2021-06-25,"Siemens Advia SARS-CoV-2 IgG anti-RBD, OR Abbott Architect IgG","n-97",402,487,82.5,NA,NA,"table 3 (can't use values for individual values in the text because it's unclear if it's weighted instead of raw)",2
"1","Middle East","Lebanon","National","representative","12/7/2020","1/15/2021",2020-12-26,"Techno Genetics anti-RBD, nCOVID-19 IgG/IgM POCT (point-of-care test)","n-150",38,60,63.3,NA,NA,"table 3",2
"1","North America","USA","Connecticut","representative","6/10/2020","7/29/2020",2020-07-04,"Vitros Ortho (not total) IgG anti-spike","n-2",11,11,100,NA,NA,"table 3",2
"5","South Asia","India","Delhi, unvaccinated population","representative","1/11/2021","1/22/2021",2021-01-16,"Vitros Ortho (not total) IgG anti-spike","n-86",817,1121,72.9,NA,NA,"table 2",3
"6","South Asia","India","Delhi, unvaccinated population","representative","9/24/2021","10/14/2021",2021-10-04,"Vitros Ortho (not total) IgG anti-spike","n-153",1739,2143,81.1,NA,NA,"table 4",6
