"phase_id","region","country","location","sampleType","startDate","endDate","midpointDate","testTime","testName","citationID","nSeropositives","nSamples","sensitivityMean","sensitivityL","sensitivityH","includedTable","notes","timeKnown","antigenTarget","antibodyTarget","technique","design","validationGroup","predictedPos","predictedPosL","predictedPosH","sensitivityMeanPred","sensitivityMedianPred","sensitivityLPred","sensitivityHPred"
"3","South Asia","India","National","representative","--","--","12/27/2020",1,"Abbott Architect IgG","n-96",19,38,50,33.38,66.62,"Yes","supplementary table (page 8 of appendix)",TRUE,"N","IgG","CMIA","indirect",76,26,19,32,68.6997515067309,68.9694345579979,57.3845151987256,78.4674060502066
"--","Europe","Ireland","{ Dublin }","hospitalized + non-hospitalized patients","3/26/2020","7/10/2020","5/18/2020",1,"Abbott Architect IgG","n-225",149,185,80.54,74.09,85.98,"Yes","table 3",TRUE,"N","IgG","CMIA","indirect",76,158,93,180,82.2595976703282,85.3916543568555,50.7314289699515,97.0003009071602
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",1,"Abbott Architect IgG","n-240",40,42,95.24,83.84,99.42,"Yes","table 1",TRUE,"N","IgG","CMIA","indirect",76,39,34,42,92.2339560272687,92.5218071848489,87.0414183512576,95.9597826539388
"--","North America","USA","{ San Francisco }","non-hospitalized patients","*April 2020","*July 2020","--",1,"Abbott Architect IgG","n-132",158,173,91.4,86.4,94.9,"Not yet","supplementary table 8",TRUE,"N","IgG","CMIA","indirect",76,140,124,153,80.5262553832513,80.7067225163399,73.9490277757054,86.0389464877405
"--","South Asia","India","{ Delhi }","hospitalized + non-hospitalized patients","--","--","12/18/2020",2,"Abbott Architect IgG","n-162",527,673,78.31,75,81.36,"Yes","table 2",TRUE,"N","IgG","CMIA","indirect",76,545,294,646,77.8562657211114,80.9163549723062,43.6884210780928,95.7253882636205
"--","Oceania","Australia","{ Sydney }","hospitalized + non-hospitalized patients","*March 2020","*August 2020","--",2,"Abbott Architect IgG","n-215",116,166,69.88,62.29,76.75,"Yes","table 2",TRUE,"N","IgG","CMIA","indirect",76,134,71,160,77.6331021762163,80.5056465268933,43.3990942457208,95.8246714318941
"1","Europe","Italy","Vo'","representative","5/1/2020","5/3/2020","5/2/2020",2,"Abbott Architect IgG","n-108",60,62,96.77,88.83,99.61,"Yes","supplementary table 2",TRUE,"N","IgG","CMIA","indirect",76,50,26,60,77.7821726762253,80.6927920157335,44.2659837119666,95.778795054152
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",2,"Abbott Architect IgG","n-240",36,39,92.31,79.13,98.38,"Yes","table 1",TRUE,"N","IgG","CMIA","indirect",76,35,30,38,89.6155089316173,89.9152814031044,83.2273245576596,94.3608393663752
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",3,"Abbott Architect IgG","n-132",127,163,77.7,70.7,83.7,"Not yet","supplementary table 8",TRUE,"N","IgG","CMIA","indirect",76,112,95,127,68.4852159497433,68.5727504799596,61.7419794975287,74.7041235574946
"--","North America","USA","{ ? }","non-hospitalized patients","--","--","--",3,"Abbott Architect IgG","n-134",29,41,70.73,54.46,83.87,"Yes","figure 1",TRUE,"N","IgG","CMIA","indirect",76,31,14,40,72.5391893403778,75.4116393943435,36.743112527788,94.1049180196713
"3","South Asia","India","National","representative","--","--","12/27/2020",3,"Abbott Architect IgG","n-96",51,96,53.12,42.66,63.39,"Yes","supplementary table (page 8 of appendix)",TRUE,"N","IgG","CMIA","indirect",76,52,37,65,53.6315892382739,53.7320899467919,42.5339299634506,64.2972253430988
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"Abbott Architect IgG","n-290",33,39,84.62,69.47,94.14,"","table 1",TRUE,"N","IgG","CMIA","indirect",76,35,30,38,88.4127116254494,88.6642336512409,82.7874810705311,92.7625247923239
"1,2","South Asia","India","Tamil Nadu: Chennai","representative","7/17/2020","10/15/2020","8/31/2020",1.5,"Abbott Architect IgG","n-89",22,24,91.67,73,98.97,"","appendix table 8 (not yet included in seroreversion paper)",TRUE,"N","IgG","CMIA","indirect",76,21,15,24,84.9032233836205,85.792544299778,70.7131560181568,94.4392334715218
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"Abbott Architect IgG","n-290",186,194,95.88,92.04,98.2,"","table 1",TRUE,"N","IgG","CMIA","indirect",76,165,149,178,84.7310478669775,84.9560263642787,78.5873717751145,89.7103827333733
"1,2","South Asia","India","Tamil Nadu: Chennai","representative","7/17/2020","10/15/2020","8/31/2020",2.5,"Abbott Architect IgG","n-89",26,29,89.66,72.65,97.81,"","appendix table 8 (not yet included in seroreversion paper)",TRUE,"N","IgG","CMIA","indirect",76,24,17,28,80.4389262756633,81.3993638439853,63.7827936979551,92.3375110392697
"1,2","South Asia","India","Tamil Nadu: Chennai","representative","7/17/2020","10/15/2020","8/31/2020",3.5,"Abbott Architect IgG","n-89",16,22,72.73,49.78,89.27,"","appendix table 8 (not yet included in seroreversion paper)",TRUE,"N","IgG","CMIA","indirect",76,17,10,21,75.0605625160098,75.9619258850164,56.1912225530569,89.6505199684756
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"Abbott Architect IgG","n-290",106,123,86.18,78.8,91.74,"","table 1",TRUE,"N","IgG","CMIA","indirect",76,92,79,103,74.5171895705354,74.6547311100014,67.9648915219143,80.3342622370026
"1","Europe","Austria","Ischgl","representative","4/21/2020","4/27/2020","2020-04-24",1,"Abbott Architect IgG","n-109",99,105,94.29,87.98,97.87,NA,"table 2",FALSE,"N","IgG","CMIA","indirect",76,90,52,103,82.2284625543206,85.4088376698314,50.605974532156,96.8073502633089
"1","Europe","Spain","National","representative","4/27/2020","5/11/2020","2020-05-04",1,"Abbott Architect IgG","n-44",176,195,90.26,85.2,94.03,NA,"table 3",FALSE,"N","IgG","CMIA","indirect",76,166,99,190,82.38999366026,85.4389484438876,51.3427566699992,97.032298617431
"1","North America","USA","Davis, Salt Lake, Summit, and Utah counties","representative","5/1/2020","6/30/2020","2020-05-31",1,"Abbott Architect IgG","n-10",25,30,83.33,65.28,94.36,NA,"",FALSE,"N","IgG","CMIA","indirect",76,26,14.9750000000001,30,82.3770024752686,85.248529335751,51.8497970338019,96.9662579262177
"1","Africa","Ethiopia","14 towns (including Addis Ababa #2)","representative","6/24/2020","7/8/2020","2020-07-01",1,"Abbott Architect IgG","n-98",30,55,54.55,40.55,68.03,NA,"",FALSE,"N","IgG","CMIA","indirect",76,47,28,54,82.5036899550468,85.4403817097687,52.5347291814387,96.9205560631837
"2","South Asia","India","National","representative","8/17/2020","9/22/2020","2020-09-04",1,"Abbott Architect IgG","n-85",38,44,86.36,72.65,94.83,NA,"table 2 (excluded 3 samples for taken within 14 days)",FALSE,"N","IgG","CMIA","indirect",76,38,22,44,82.5878347639736,85.5667060508786,51.6343252725085,97.0045241969065
"1","South Asia","India","Kashmir: Srinagar district","representative","10/17/2020","10/20/2020","2020-10-18",1,"Abbott Architect IgG","n-92",100,121,82.64,74.7,88.92,NA,"table 1 (1 - 4 month time interval stated on page 1795)",FALSE,"N","IgG","CMIA","indirect",76,103,61,118,82.4008450381276,85.2946264403708,51.8811585086166,97.0484540187674
"1","South Asia","India","Kashmir (whole region)","representative","10/17/2020","11/4/2020","2020-10-26",2,"Abbott Architect IgG","n-91",140,172,81.4,74.76,86.91,NA,"176 individuals (with 4 seronegatives removed for testing earlier than 14 days)",FALSE,"N","IgG","CMIA","indirect",76,138,73,166,77.378216958354,80.3931677793647,42.4451068014889,95.688538751486
"4","South Asia","India","National","representative","6/14/2021","7/6/2021","2021-06-25",2,"Abbott Architect IgG","n-97",464,782,59.34,55.8,62.8,NA,"S1 table",FALSE,"N","IgG","CMIA","indirect",76,631,341,749,77.6927421966925,80.6608605785631,43.8115748006923,95.5837059286856
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",4.5,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-240",11,11,100,71.51,100,"Yes","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,11,9,11,97.4123420997131,97.7249441942551,93.823854568042,99.278835265807
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","*August 2020","*September 2020","--",5,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-222",338,363,93.11,90,95.49,"Yes","supplementary table S2",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,348,288,362,94.3460373903651,95.9630215563125,79.5835079210398,99.3341244357286
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",5,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-132",144,158,90.7,85.4,94.6,"Not yet","supplementary table 8",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,151,140,156,94.917436229725,95.227245331811,90.1153526443899,97.9108036629772
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",6,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-240",43,44,97.73,87.98,99.94,"Yes","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,43,40,44,98.079005541626,98.4269701932327,94.5354729527568,99.6126354871676
"--","East Asia","Japan","{ ? }","convenience (general population)","9/2/2020","10/26/2020","9/29/2020",6,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-167",367,376,97.61,95.5,98.9,"Yes","",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,364,304,375,95.2434263162149,96.8532767220797,80.8640549081325,99.5411716704176
"--","Europe","Germany","{ Saarland }","non-hospitalized patients","--","*October 2020","*October 2020",6,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-289",30,30,100,88.43,100,"Yes","figure 2g",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,29,24,30,95.3565867545384,96.8550724598249,82.0977892611564,99.5484393331668
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",7,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-132",133,146,91.1,85.7,95.1,"Not yet","supplementary table 8",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,142,131,146,96.5245879235198,97.0654314848164,90.8339645767912,99.1811937435694
"--","East Asia","South Korea","{ ? }","non-hospitalized patients","--","--","--",8,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-165",53,58,91.38,81.02,97.14,"Yes","",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,57,49,58,96.7008565427698,98.0931721185759,85.3261190600739,99.7857959890526
"--","Europe","Sweden","{ Stockholm }","hospitalized + non-hospitalized patients","--","late 2020","--",9,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-223",31,32,96.88,83.78,99.92,"Yes","tables 2 and 3",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,32,27,32,97.1352150296798,98.4620361057911,86.217559544236,99.8615180765767
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",160,162,98.77,95.61,99.85,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,160,156,162,98.7592380843488,98.9038609247326,97.072289238329,99.6341120679715
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",8,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",93,95,97.89,92.6,99.74,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,95,91,95,99.146317178533,99.33538758545,97.374144954137,99.8541857132723
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",10,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",86,89,96.63,90.46,99.3,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,89,86,89,99.382492466311,99.5965090006738,97.5742568588431,99.9426434750345
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",12,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",84,91,92.31,84.79,96.85,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,91,88,91,99.5307051971454,99.7553972405222,97.7372049400538,99.9779917715753
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",14,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",34,35,97.14,85.08,99.93,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",75,35,34,35,99.6258977520198,99.8515069422362,97.8460453679829,99.9915485048368
"2.3","East Asia","Japan","Miyagi + Osaka + Tokyo (phase 3), Aichi + Fukuoka (phase 2)","representative","12/3/2021","12/27/2021","2021-12-15",5,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-280",105,132,79.55,71.65,86.07,NA,"table 4 on page 6",FALSE,"N","IgG IgM IgA","CMIA","sandwich",75,120,102,129,89.8899262465176,90.6833768785291,78.967385957325,96.330437322625
"1","South Asia","India","Odisha: Bhubaneswar (phase 2), Berhampur, Rourkela","representative","8/6/2020","8/31/2020","8/18/2020",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-93",23,29,79.31,60.28,92.01,"Yes","table 2",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,28,21,29,93.3456738002552,95.2389546140103,75.7666118608507,99.1831270299416
"2","South Asia","India","Odisha: Bhubaneswar","representative","--","--","8/26/2020",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-94",2,3,66.67,9.43,99.16,"Yes","table 3",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,3,2,3,93.4363772006767,95.1940288103373,77.8881837436772,99.1607567085553
"3","South Asia","India","Odisha: Bhubaneswar","representative","--","--","9/18/2020",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-94",124,132,93.94,88.41,97.35,"Yes","table 3",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,126,100,132,93.4245699026724,95.2293696380961,76.7585341473219,99.1786967605287
"--","Europe","Ireland","{ Dublin }","hospitalized + non-hospitalized patients","3/26/2020","7/10/2020","5/18/2020",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-225",153,185,82.7,76.47,87.86,"Yes","table 3",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,176,141,184,93.4275516571827,95.2931312283376,76.6634005182408,99.1632844414566
"--","North America","USA","{ San Francisco }","non-hospitalized patients","*April 2020","*July 2020","--",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-132",147,164,89.6,84.2,93.7,"Not yet","supplementary table 8",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,153,139,160,92.6261420109974,93.0177683308073,86.3500962416041,96.5996090422464
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-240",39,42,92.86,80.52,98.5,"Yes","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,41,37,42,96.9166332810472,97.3636417258624,91.8763694467974,99.3004008235384
"1","Europe","Italy","Vo'","representative","5/1/2020","5/3/2020","5/2/2020",2,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-108",62,62,100,94.22,100,"Yes","supplementary table 2",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,59,47,62,93.2894056780801,95.0904270443729,77.2814093762787,99.0662061706327
"--","Oceania","Australia","{ Victoria }","hospitalized + non-hospitalized patients","--","--","--",2,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-240",39,39,100,90.97,100,"Yes","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,38,35,39,96.8364927305578,97.2508474794698,92.0870482532666,99.2252029893317
"1","Europe","Iceland","National","convenience (general population)","4/3/2020","7/8/2020","5/21/2020",3,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-157",1120,1215,92.18,90.53,93.63,"Yes","tables S1 and S4, page 8 of appendix 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,1153,937,1204,93.1125672278901,94.8543600074108,77.1246744563749,99.0017513613039
"--","North America","USA","{ ? }","non-hospitalized patients","--","--","--",3,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-134",40,41,97.56,87.14,99.94,"Yes","",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,39,30,41,93.0086682993487,94.7846485442644,76.5142498974288,99.05158181376
"--","North America","USA","{ San Francisco }","non-hospitalized patients","--","--","--",3,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-132",150,166,90.2,85,94.2,"Not yet","supplementary table 8",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,154,142,161,92.2185315686628,92.4288102557177,87.7117699214371,95.5140755407376
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",32,39,82.05,66.47,92.46,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,38,35,39,97.2892395298116,97.6147384139365,93.3627464684098,99.2538125470157
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",2,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",193,194,99.48,97.16,99.99,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,189,180,194,97.2509414455654,97.5180493148892,93.7886697067425,99.1202318538872
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",4,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-290",123,123,100,97.05,100,"","table 1",TRUE,"N","IgG IgM IgA","CMIA","sandwich",74,120,114,123,97.1403849670224,97.3037524352711,94.4571316820944,98.8081870910071
"1","South Asia","India","Puducherry: Puducherry district","representative","8/11/2020","8/16/2020","2020-08-13",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-87",3,3,100,29.24,100,NA,"",FALSE,"N","IgG IgM IgA","CMIA","sandwich",74,3,2,3,93.4201912225964,95.2180644122826,76.4058207642054,99.1842972655581
"2","South Asia","India","Puducherry: Puducherry district","representative","9/10/2020","9/16/2020","2020-09-13",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-87",3,7,42.86,9.899,81.59,NA,"",FALSE,"N","IgG IgM IgA","CMIA","sandwich",74,7,5,7,93.4835696222776,95.3347600219827,77.146199685277,99.1958744902535
"3","South Asia","India","Puducherry: Puducherry district","representative","10/12/2020","10/16/2020","2020-10-14",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-87",25,29,86.21,68.34,96.11,NA,"",FALSE,"N","IgG IgM IgA","CMIA","sandwich",74,28,21,29,93.4326627008398,95.2515052304977,76.8541116096416,99.2025753170967
"1","Oceania","Indonesia","Tanjung Priok sub-district","convenience (general population)","11/23/2020","2/19/2021","2021-01-06",2,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-152",27,32,84.38,67.21,94.72,NA,"table 2 (excluded 17 samples for taken within 14 days)",FALSE,"N","IgG IgM IgA","CMIA","sandwich",74,31,24,32,93.3188677141173,95.0482935458205,77.4356088071398,99.1304421339381
"1","South Asia","India","Hyderabad","representative","1/8/2021","1/24/2021","2021-01-16",4,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-101",260,298,87.25,82.92,90.82,NA,"table 2",FALSE,"N","IgG IgM IgA","CMIA","sandwich",74,282,226,296,92.9177813730998,94.7483789340421,76.0919988934546,99.0017415239455
"3.4","East Asia","Japan","Miyagi + Osaka + Tokyo (phase 4), Aichi + Fukuoka (phase 3)","representative","2/2/2022","3/6/2022","2022-02-18",1,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM","n-280",178,230,77.39,71.43,82.63,NA,"table 4 on page 6",FALSE,"N","IgG IgM IgA","CMIA","sandwich",74,193,165,212,83.4033061497967,83.8726317055442,72.8436432199827,91.2039463760457
"--","Europe","Germany","Dresden","hospitalized + non-hospitalized patients","*August 2020","*October 2020","*September 2020",5,"Euroimmun anti-spike","n-133",90,109,82.57,74.13,89.17,"Yes","table 2",TRUE,"S","IgG IgA","ELISA","indirect",73,86,42,105,76.0302994090495,79.1726551302101,39.6609788255127,95.6481003224142
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","*August 2020","*September 2020","--",5,"Euroimmun anti-spike","n-222",280,363,77.13,72.46,81.36,"Yes","supplementary table S2",TRUE,"S","IgG IgA","ELISA","indirect",73,288,139,349,75.9153542608711,79.3230486563957,38.6264760351606,95.7489030023283
"--","Europe","Germany","{ Saarland }","non-hospitalized patients","--","*October 2020","*October 2020",6,"Euroimmun anti-spike","n-289",23,30,76.67,57.72,90.07,"Yes","figure 2g",TRUE,"S","IgG IgA","ELISA","indirect",73,23,9,29,72.8557224360227,76.0293306867761,33.7919248327511,95.486695101109
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","--","--","--",7,"Euroimmun anti-spike","n-243",103,131,78.63,70.61,85.3,"Yes","figure 5c, seropositives back-calculated from seroprevalence",TRUE,"S","IgG IgA","ELISA","indirect",73,101,78,117,76.2704511030909,76.912535168727,61.3677203563748,87.7345831248145
"--","East Asia","South Korea","{ ? }","non-hospitalized patients","--","--","--",8,"Euroimmun anti-spike","n-165",40,58,68.97,55.46,80.46,"Yes","",TRUE,"S","IgG IgA","ELISA","indirect",73,41,14,56,66.9356863394609,70.1435275377011,24.7642497988136,94.3690842009776
"--","Europe","Germany","{ Cologne }","hospitalized + non-hospitalized patients","--","12/17/2020","--",9,"Euroimmun anti-spike","n-243",96,131,73.28,64.85,80.63,"Yes","figure 5c, seropositives back-calculated from seroprevalence",TRUE,"S","IgG IgA","ELISA","indirect",73,93,58,116,69.6148739321096,70.6852378714705,45.8506425719679,87.6198842964739
"--","Europe","Germany","Dresden","hospitalized + non-hospitalized patients","*January 2021","*March 2021","*February 2021",10,"Euroimmun anti-spike","n-133",85,109,77.98,69.03,85.35,"Yes","table 2",TRUE,"S","IgG IgA","ELISA","indirect",73,69,16,103,60.4834735629529,63.1617206050064,15.5458588796741,93.4719046738176
"--","Europe","Germany","--","hospitalized + non-hospitalized patients","--","--","*2020",6,"Euroimmun anti-spike","n-290",131,162,80.86,73.95,86.61,"","table 1",TRUE,"S","IgG IgA","ELISA","indirect",73,134,113,149,82.0608727477291,82.5793655122069,71.508918107571,90.0885392383881
