"intercept","slope","interceptSD","slopeSD","testName"
2.98553077071844,-0.318831142287873,0.527472682554445,0.176802335893448,"in-house THL Finland neutralization assay"
2.32912456851401,-0.280181464982,0.854918967560381,0.554699378882419,"InBios SCoV-2 Detect IgG anti-spike ELISA"
1.0917980459606,-0.625356776583846,0.529960104551901,0.151568291184387,"Livzon COVID-19 IgG IgM lateral flow"
2.70020698057977,0.579047806030917,0.665626470142981,0.639607070087866,"LumiraDx SARS-CoV-2 anti-spike antibody test"
2.73296508270565,0.131759205326337,0.766228597007896,0.72635637719342,"New York, Mount Sinai RBD ELISA"
3.07642235412704,-1.41919804129115,0.681787481254016,0.405928762471543,"Roche SARS-CoV-2 rapid antibody test anti-spike anti-nucleocapsid IgG IgM"
1.51696640670685,-0.442487856962131,0.62753195087377,0.296338880920498,"Siemens Advia SARS-CoV-2 IgG anti-RBD"
2.44618268129957,-0.331757607326108,0.685891586119217,0.862942798833322,"Siemens SARS-CoV-2 Total Advia Centaur"
2.90197909803943,0.028073261791018,0.826366378885867,1.00929071187992,"Sinai Health (Toronto) anti-spike ELISA"
4.18315214548119,-2.62454682970929,0.857056847114841,0.371814039920426,"University of Oxford, IgG for spike"
3.01609851809121,0.0113484861795786,0.643190852142211,0.645792661231685,"University of Rio de Janeiro (UFRJ) anti-spike ELISA"
2.38720517571822,-1.13297870411362,0.392386896079173,0.191672022576914,"Vitros Ortho (not total) IgG anti-spike"
1.5984837344473,1.07483156384311,0.50856050725305,0.169648336128603,"Vitros Ortho total Ig anti-spike"
2.28892158126528,0.810147753801715,0.433244540753051,0.355888723554297,"Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD"
1.7797101348485,-1.18939975965722,0.784230569599802,0.840268608784341,"AMP Rapid Test SARS-CoV-2 IgG/IgM"
1.91250980795467,-0.959184077512669,0.648759702118424,0.975151284144861,"Beckman ACCESS SARS-CoV-2 anti-RBD"
1.73289193274498,-1.12086512692898,0.726490313032189,0.909945517963728,"BioRad Platelia Total Antibody nucleocapsid"
1.96381055241412,-0.767197458069167,0.657849172739362,0.974049262194791,"CCAHS ELISA anti-spike anti-RBD anti-nucleocapsid (positive on at least 2 out of 3)"
2.01573535623979,-1.88766530865265,0.467131891361065,0.478837751448469,"Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)"
1.94607736558886,-0.673638708923739,0.811505206928077,1.09879568384181,"Hangzhou Clongene IgM/IgG rapid test"
1.82032388572908,-1.27034611498458,0.789691154136987,0.745879042737747,"in-house Luminex S protein trimer IgG"
2.01890563952651,-0.803884193745164,0.709192223331525,0.897054131381316,"in-house ELISA for N protein and S protein from IPT (Institut Pasteur in Tunis)"
1.4996740647716,-0.846053003797727,0.630819730452085,1.06994134607489,"Kavach-AntiSARS-CoV-2 IgG ELISA (Zydus)"
2.69495494988843,0.1018983374755,0.794629473750716,0.852073324479263,"Luminex xMAP for spike and nucleocaspid (Los Angeles study used RBD portion)"
1.76322172889235,-0.925726352100977,0.71210657023211,0.993412243813607,"Massachusetts General Hospital, anti-spike ELISA"
1.25140053159353,-0.970338135194759,0.369705805362827,0.816616891587431,"Obolensk ELISA anti-nucleocapsid IgG (State Scientific Center of Applied Microbiology and Biotechnology)"
1.82929842818833,-1.09984182715251,0.523618297750469,0.981902529274043,"Orient Gene Biotech COVID-19 IgG/IgM Rapid Test anti-spike"
1.63722731998429,-1.01167225533931,0.690117512711559,1.0028457777643,"Techno Genetics anti-RBD, nCOVID-19 IgG/IgM POCT (point-of-care test)"
